"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_33_P3242798",1.20995,-8.180325,10.3958482553483,6.50129901048159e-06,0.129038211175743,3.05365237900109,"CPS1"
"A_23_P46429",1.398975,-6.7704375,9.77044755247532,1.03221770275484e-05,0.129038211175743,2.80341409014825,"CYR61"
"A_33_P3216763",1.011455,-0.2496425,9.34465726813748,1.43519309504775e-05,0.129038211175743,2.61610844934186,"EYA1"
"A_33_P3419696",1.3406,-2.462525,8.89932317210762,2.05436320747556e-05,0.138530846988096,2.40391348959907,"FGF2"
"A_24_P12626",1.00175,-7.53105,7.61845788994014,6.30457087114573e-05,0.261648772415244,1.68552057884499,"CAV1"
"A_33_P3228271",0.65099,-0.7321375,7.46492794767662,7.28350763356584e-05,0.261648772415244,1.58717122030127,"CST3"
"A_23_P2920",1.05805,-5.73355,7.39263417840466,7.80199227323969e-05,0.261648772415244,1.53985833049564,"SERPINA3"
"A_23_P127948",0.5954,-6.8321,7.33339626049371,8.25744721075457e-05,0.261648772415244,1.5006023875721,"ADM"
"A_23_P102286",0.787314,0.6480005,7.16733397628139,9.69939394764323e-05,0.261648772415244,1.38816876360735,"LHCGR"
"A_23_P1691",0.739075000000001,-6.3554875,6.97635453559735,0.000117130518427802,0.261648772415244,1.25439509889162,"MMP1"
"A_23_P131024",-1.271425,5.8676375,-6.8948682611784,0.0001270981475587,0.261648772415244,1.19582034969187,"ZBTB32"
"A_23_P45811",1.2985225,-0.27944625,6.83098949902981,0.000135569848758417,0.261648772415244,1.14926296151785,"DIO1"
"A_23_P37988",0.596974999999999,-3.2108625,6.82267600439386,0.000136717638445209,0.261648772415244,1.14316202675645,"CPNE2"
"A_33_P3240328",0.743424999999998,-5.7226375,6.67448454073928,0.00015909241143528,0.261648772415244,1.03277559731833,"PITX1"
"A_23_P117437",0.77601025,0.594377375,6.63057690111756,0.000166478458690138,0.261648772415244,0.999467316415909,"IL25"
"A_23_P110837",0.8205,-3.8604,6.62203320704866,0.000167959293080972,0.261648772415244,0.992953709482455,"IRX4"
"A_23_P122216",0.700324999999999,-4.5631875,6.52884440530676,0.000185092464402499,0.261648772415244,0.921216845298511,"LOX"
"A_32_P385587",0.60055,-4.12815,6.48830590549347,0.000193141355543465,0.261648772415244,0.889611815771711,"ALAS2"
"A_33_P3342375",1.3092,-9.47035,6.48572535594088,0.00019366666400933,0.261648772415244,0.887591697378212,"MAGEA6"
"A_33_P3407424",0.576425,-5.8034625,6.40015810815951,0.000212011756377814,0.261648772415244,0.820044407044304,"CDC42EP1"
"A_33_P3361636",1.005925,-5.3438625,6.29716278000329,0.000236683755718304,0.261648772415244,0.73727308005851,"MGP"
"A_23_P53198",0.92345,-2.793525,6.24725952115595,0.000249764521746973,0.261648772415244,0.696584753830259,"DGAT2"
"A_23_P135381",0.989124999999998,-7.7610625,6.24394388454894,0.000250661474236004,0.261648772415244,0.693867743640713,"SP5"
"A_33_P3265514",0.5068,-1.8311,6.22794731790105,0.000255039130939628,0.261648772415244,0.68073535235383,"TPTE"
"A_33_P3375755",0.97063,0.3709175,6.11206798412738,0.000289388124894641,0.261648772415244,0.584410567010465,""
