"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_33_P3230676",1.5700675,-1.49799125,11.4944690535541,2.5669257647158e-06,0.0444909692515705,4.60386524146985,""
"A_23_P46429",1.679025,-7.1919625,11.1858995847744,3.16594102693877e-06,0.0444909692515705,4.46241625404896,"CYR61"
"A_23_P135381",1.376225,-8.1217375,9.86115788982694,8.29251760303388e-06,0.0542318021323385,3.77776253240927,"SP5"
"A_33_P3263890",1.3316,-6.645675,9.58577133726401,1.02732641913925e-05,0.0542318021323385,3.6178759803929,"PRRX1"
"A_23_P142872",1.831425,-4.8618125,9.24563438470326,1.34835171521903e-05,0.0542318021323385,3.41109218567138,"TCF7L1"
"A_23_P110957",1.004775,-5.4595125,8.79927476289271,1.95192702100993e-05,0.0542318021323385,3.12315490466385,"FOXF2"
"A_33_P3397658",1.5113425,-1.65825375,8.56613447839056,2.38282279650307e-05,0.0542318021323385,2.96483504961184,"SYNPO"
"A_23_P91552",1.265125,-4.6598875,8.55463667266907,2.40665607483148e-05,0.0542318021323385,2.95688085563903,"FTCD"
"A_23_P109913",-1.500325,8.0378875,-8.54987793747775,2.41659761709206e-05,0.0542318021323385,2.95358467659215,"CXCR6"
"A_23_P203191",1.016375,-5.2443375,8.52694648460655,2.46514798394852e-05,0.0542318021323385,2.93766743583587,"APOA1"
"A_23_P166431",1.199965,-1.1383425,8.4531902888796,2.62880147201145e-05,0.0542318021323385,2.8860923843527,"C22orf24"
"A_23_P212508",2.47075,-8.34255,8.44465981770112,2.64849516746775e-05,0.0542318021323385,2.88008978530804,"TF"
"A_23_P110837",0.871175,-3.9125375,8.42951367746154,2.68386696825272e-05,0.0542318021323385,2.86941267966213,"IRX4"
"A_32_P180741",1.107855725,-0.3257871375,8.31394066710375,2.97171033720468e-05,0.0542318021323385,2.78712178254918,"TNK2"
"A_23_P256158",0.934724999999999,-5.2306125,8.31273260887763,2.97489468888506e-05,0.0542318021323385,2.78625390998701,"ADRA2C"
"A_23_P71530",1.037,-5.0109,8.23900676307152,3.17659195332764e-05,0.0542318021323385,2.73298409407095,"TNFRSF11B"
"A_23_P159255",1.014675,-3.9443125,8.14897300375876,3.44376795232248e-05,0.0542318021323385,2.66710975169678,"PTPRM"
"A_23_P83403",1.52375,-3.18575,8.13953751660867,3.47318166363799e-05,0.0542318021323385,2.66015336077468,"LIMCH1"
"A_33_P3352011",1.220517,-0.8860415,8.01017400172859,3.90587123086238e-05,0.0577781141129569,2.56375597829216,""
"A_23_P20484",0.799375,-4.5972375,7.81403439253432,4.68054428141543e-05,0.0595056247691488,2.41389310248129,"FGL1"
"A_33_P3363120",1.593925,-0.3701225,7.75975199405372,4.92400984091808e-05,0.0595056247691488,2.37161212758242,"SCARNA10"
"A_23_P157865",0.819049999999999,-4.827325,7.74152144105107,5.00889959886182e-05,0.0595056247691488,2.35733267887915,"TNC"
"A_23_P116898",1.33315,-9.2033,7.72680259104051,5.07862121454226e-05,0.0595056247691488,2.34577452524717,"A2M"
"A_23_P94879",1.035225,-7.1274375,7.72625286137682,5.08124597758333e-05,0.0595056247691488,2.3453423351011,"F2"
"A_23_P83498",0.751725,-6.3682625,7.59947092693733,5.72874187581768e-05,0.0616162528664618,2.24468276864603,"IGF2BP1"
"A_23_P259292",0.66163,-0.91106,7.59610740657005,5.74712164747017e-05,0.0616162528664618,2.24198536523898,"C1QTNF5"
"A_33_P3326447",0.75861825,-0.568528375,7.56519044876826,5.91915899592424e-05,0.0616162528664618,2.21712552950035,"LOC100508384"
"A_23_P48561",1.192475,-4.9377125,7.40896439048795,6.88043525162799e-05,0.0643841710947315,2.08967484165158,"EFS"
"A_24_P101047",-0.719655,0.9811725,-7.39165726323473,6.99715426883918e-05,0.0643841710947315,2.07536526854891,"KIAA1586"
"A_33_P3326483",1.278725,-5.0785875,7.36702175531361,7.16709359958273e-05,0.0643841710947315,2.05493041943769,"CRABP1"
"A_23_P422724",0.867099999999999,-5.834725,7.34232867049185,7.34202598135569e-05,0.0643841710947315,2.03436954796809,"PPIC"
"A_33_P3219286",1.1274255,-0.68119475,7.32563680627001,7.46295056082297e-05,0.0643841710947315,2.02042640859465,""
"A_24_P302249",1.02845,-7.025425,7.31252083485775,7.55951628166989e-05,0.0643841710947315,2.00944502224374,"APOA2"
"A_33_P3389286",0.605275,-4.9904875,7.26884679706473,7.8911671192013e-05,0.065232100897727,1.97271779116224,"SFN"
"A_23_P28186",1.4325355,-0.91260725,7.20119953194653,8.43710034356541e-05,0.0668643792966298,1.91533842307969,"SRD5A2"
"A_24_P11061",0.812425,-4.4790125,7.16572599203938,8.73998255251342e-05,0.0668643792966298,1.88500836606851,"CSAG1"
"A_23_P122216",0.938724999999999,-4.5955875,7.14632037084113,8.91074702626169e-05,0.0668643792966298,1.86834587699221,"LOX"
"A_33_P3304707",0.967924999999999,-5.4071375,7.13187835209626,9.04022775660688e-05,0.0668643792966298,1.85591283100196,""
"A_23_P142849",0.714650000000001,-5.8912,7.10318165908315,9.3037285996621e-05,0.0670488707748982,1.83112540719096,"RND3"
"A_33_P3399980",0.933975000000001,-5.1141125,7.06619640553875,9.65594263947747e-05,0.0678064704798128,1.79901575269601,"TYRP1"
"A_23_P90273",0.691775,-1.6582625,7.02018023598213,0.000101148949305301,0.0678064704798128,1.75880824353576,"CHST8"
"A_32_P116660",0.9068185,0.33932575,7.01680450355149,0.000101495009008666,0.0678064704798128,1.75584734395186,"RBM43"
"A_33_P3451508",0.819599999999999,-3.5305,6.99522241657875,0.000103738640526291,0.0678064704798128,1.73688080767288,""
"A_33_P3228807",0.8966,-2.1481,6.86360976021974,0.000118665557435153,0.0715368409190743,1.61983727989307,"SPEG"
"A_23_P257307",1.0186,-4.24615,6.85277081417946,0.000119996808357141,0.0715368409190743,1.61009152221277,"SERPINA7"
"A_24_P133253",-1.1955,-2.755,-6.76965884309561,0.00013077031235705,0.0715368409190743,1.53481649806793,"KITLG"
"A_33_P3379922",1.15135,-5.01685,6.7607862639211,0.000131982126386629,0.0715368409190743,1.52672323778045,"PROC"
"A_23_P159775",0.998300000000001,-5.835225,6.74697950231611,0.000133892577220584,0.0715368409190743,1.51410708251252,"GABRE"
"A_23_P1691",0.896175,-6.4548125,6.7309493271841,0.000136149069727496,0.0715368409190743,1.49942541862349,"MMP1"
"A_24_P111996",1.4433135,-1.06319325,6.72845877214658,0.000136503405788031,0.0715368409190743,1.49714110968241,"HFE"
"A_33_P3210605",0.99231825,-0.387858375,6.71230512801971,0.00013882647349109,0.0715368409190743,1.48230379842146,""
"A_32_P29965",1.20095,-3.384925,6.68840409329399,0.000142344139743167,0.0715368409190743,1.4602823418255,"MAGEA9"
"A_33_P3357658",0.70596,-1.11307,6.67279584281432,0.000144694344172322,0.0715368409190743,1.44585755384852,"HMGA2"
"A_23_P121926",0.901924999999999,-8.1727125,6.67113997980979,0.000144946176460603,0.0715368409190743,1.44432520068658,"SEPP1"
"A_23_P106682",0.734649999999999,-7.13955,6.6615963184246,0.000146407085407082,0.0715368409190743,1.43548574878538,"EMP2"
"A_33_P3768930",1.14575,-7.10815,6.64687057198174,0.000148693224778454,0.0715368409190743,1.4218209886663,""
"A_24_P602871",0.812095,-1.3831025,6.6319107240461,0.000151056104262313,0.0715368409190743,1.40790712260348,"SAMD5"
"A_33_P3361422",0.990025000000001,-5.3033375,6.6192198597422,0.000153093098343929,0.0715368409190743,1.39607835862675,"CYP27A1"
"A_33_P3421923",0.8022675,-1.47929125,6.60392645623585,0.000155588181278012,0.0715368409190743,1.38179300618466,"CADM3"
"A_33_P3310104",0.70855,-2.8879,6.58549999860436,0.000158654170962555,0.0715368409190743,1.36453623546158,"SERPINB5"
"A_23_P138089",1.21315925,0.184390375,6.57870800270689,0.000159801053382227,0.0715368409190743,1.35816299118106,"MPZ"
"A_23_P5654",0.8031275,-0.76972875,6.56191422807729,0.000162676265656966,0.0715368409190743,1.34237589302221,"IL37"
"A_23_P84118",1.3059,-4.310175,6.55474389555729,0.000163921216114351,0.0715368409190743,1.33562289666194,"CDH18"
"A_33_P3327971",1.01382425,-0.315492875,6.52903582537769,0.000168471900653318,0.0715368409190743,1.31134959193979,""
"A_33_P3417547",1.15479,-0.886405,6.50382158865879,0.000173070828155435,0.0715368409190743,1.28744884036063,""
"A_33_P3298539",0.849425,-6.3710875,6.50073739674587,0.000173642802476478,0.0715368409190743,1.28451892636224,"APOA1"
"A_23_P117363",0.571825,-3.4367375,6.49883500963327,0.000173996645820674,0.0715368409190743,1.28271100555291,"SERPINA6"
"A_23_P251881",-0.725825,4.9324875,-6.4754555121574,0.000178410749309316,0.0715368409190743,1.26044908341945,"NCR3"
"A_24_P252996",1.11385,-2.854475,6.47121789573584,0.000179223959985969,0.0715368409190743,1.25640543174911,"FOLR3"
"A_33_P3399788",0.593175000000001,-5.9469625,6.43564363613425,0.000186214141837801,0.0715368409190743,1.22235510221421,"SERPINA3"
"A_33_P3308749",0.602765,-0.561475,6.43285127624474,0.00018677541513332,0.0715368409190743,1.21967445001493,"LAMA4"
"A_23_P166508",0.63935,-3.68225,6.42844172137516,0.000187665550066663,0.0715368409190743,1.21543894851492,""
"A_23_P134454",0.627675000000002,-5.8630625,6.41610565823945,0.000190180699052407,0.0715368409190743,1.2035745138662,"CAV1"
"A_33_P3285545",0.707550000000001,-4.97005,6.40475776841028,0.000192527203069114,0.0715368409190743,1.19264054252461,"CLDN4"
"A_33_P3294654",0.6683625,1.48964375,6.39215637835634,0.000195170350881054,0.0715368409190743,1.18047637544366,"RSG1"
"A_33_P3212109",1.5241,-4.86675,6.38872749500693,0.000195896462092395,0.0715368409190743,1.17716237399727,"DCDC2"
"A_24_P896205",0.635475,-4.3914875,6.38831331379585,0.000195984371691764,0.0715368409190743,1.17676195111318,"LOC645722"
"A_23_P218111",1.204775,-4.8864875,6.32766833736881,0.000209337797873902,0.075314945676243,1.11785506509564,"SERPINA1"
"A_24_P238250",0.880775,-1.6209125,6.31740926205194,0.000211694325354842,0.075314945676243,1.10783553865419,"LGALS7"
"A_33_P3334155",1.0336275,-0.06418625,6.29400473981144,0.000217180485313404,0.0763009340027316,1.08491825331807,"LOC100652791"
"A_24_P367496",0.64952425,0.249292875,6.25550860525215,0.000226547894745422,0.077619333465598,1.04704373084002,"LOC100131650"
"A_23_P154379",0.62157,-1.033865,6.24476567230259,0.000229240764713269,0.077619333465598,1.03643422588715,"NAT8"
"A_23_P342138",0.650325,-1.8909375,6.24267920838385,0.000229767842180661,0.077619333465598,1.03437164509955,"ADAMTSL1"
"A_33_P3236642",0.871918625,-0.3776006875,6.23398017429256,0.000231979791187299,0.077619333465598,1.02576506111011,"MIA3"
"A_23_P252306",0.928500000000001,-8.545575,6.21167115309876,0.000237760302293472,0.0781575329926551,1.00364052190956,"ID1"
"A_23_P115261",1.070275,-6.3863375,6.20589433044324,0.000239282854847438,0.0781575329926551,0.997899110917441,"AGT"
"A_23_P157793",0.964625000000001,-5.0744875,6.1959435048,0.000241930739712552,0.0781575329926551,0.987997342026764,"CA9"
"A_33_P3252475",-1.09781575,-0.744982125,-6.14776890537545,0.000255214104000275,0.0804995728140306,0.939845991790991,"C14orf64"
"A_33_P3280845",0.784475,-5.6173625,6.14515729987519,0.000255956799119753,0.0804995728140306,0.937225472007407,"THY1"
"A_33_P3246418",1.06715,-5.868725,6.13880658133135,0.000257772772833657,0.0804995728140306,0.930848699398207,"MDFI"
"A_33_P3865368",0.623524999999999,-3.4700125,6.11192423297834,0.000265618246241253,0.081314529054421,0.903787259297911,"LOC254896"
"A_33_P3399318",0.889300000000001,-5.383225,6.07293142088889,0.000277468808512855,0.081314529054421,0.864336240253555,"GNG12"
"A_33_P3354061",0.632236795,-0.3049291025,6.05706163581294,0.000282457356183325,0.081314529054421,0.848212477734523,""
"A_23_P114445",0.862935775,-0.6460071125,6.05203230247754,0.000284058802702523,0.081314529054421,0.8430944878212,"MAGEE1"
"A_23_P97541",0.558825,-1.4695625,6.0313852837927,0.000290738656622932,0.081314529054421,0.82204223808774,"C4BPA"
"A_33_P3772937",0.556699999999999,-4.584175,6.02488832320694,0.000292876166361873,0.081314529054421,0.815404018255371,"KRT8P12"
"A_23_P120472",0.646225,-2.0207125,6.02113843861676,0.000294117742353095,0.081314529054421,0.811569603543422,"TFAP2C"
"A_32_P8546",1.516825,-5.7021625,5.99455482452599,0.000303087169174351,0.081314529054421,0.784323713540635,"LINC00473"
"A_23_P115780",0.7676525,-0.62076625,5.99037696768522,0.000304523936033272,0.081314529054421,0.780031715058091,"LRIT1"
"A_23_P46149",0.649375,2.0418125,5.97806378092797,0.000308802164665718,0.081314529054421,0.76736620367045,"GPR137B"
"A_33_P3242798",1.252675,-8.3160625,5.96672232873609,0.000312801252122933,0.081314529054421,0.755679173902118,"CPS1"
"A_23_P63432",0.9529,-2.0431,5.96349259433378,0.000313950467471557,0.081314529054421,0.752347330595864,"RHBDL2"
"A_33_P3402565",1.690525,-6.3710875,5.96216529127146,0.000314424097400021,0.081314529054421,0.750977588922215,"DSP"
"A_23_P212696",0.510399999999999,-6.0562,5.96122188625056,0.000314761215865004,0.081314529054421,0.750003851409817,"FSTL1"
"A_23_P47565",-0.7649,-2.3709,-5.94394799635972,0.000321004642455004,0.081314529054421,0.732149802109094,"LDHA"
"A_33_P3384462",1.231875,-2.9761625,5.9431233462368,0.000321306085565232,0.081314529054421,0.731296279819372,"THSD4"
"A_32_P305020",-1.8312875,-1.92658125,-5.941180678868,0.000322017439319228,0.081314529054421,0.72928517315624,"GNG4"
"A_33_P3417865",0.93928625,0.152664375,5.92185354777046,0.000329189522564834,0.081314529054421,0.709244724065511,"ZFP36L1"
"A_33_P3369401",1.1954045,-0.75834275,5.92090692250615,0.000329545284369202,0.081314529054421,0.70826164572408,"CYP24A1"
"A_23_P108280",1.2546,-2.286525,5.9131844519035,0.000332463377976948,0.081314529054421,0.700236502680628,"CYP4F12"
"A_33_P3217490",0.4981,-1.34025,5.91007190893848,0.000333647530950273,0.081314529054421,0.696999300468578,"LOC729444"
"A_33_P3333523",-0.772415,-1.6740925,-5.90650628029702,0.0003350097544627,0.081314529054421,0.69328898202673,""
"A_23_P38244",1.088925,-10.2600375,5.8992170203679,0.000337813613197017,0.081314529054421,0.685697666561554,"APOH"
"A_33_P3330384",0.59415,0.085415,5.89693713172013,0.000338695869800022,0.081314529054421,0.683321574775203,"BET1L"
"A_33_P3356816",0.5728425,0.54492125,5.88601900411537,0.000342956119122851,0.081314529054421,0.671931318148481,"LCE1B"
"A_23_P256504",0.782324999999999,-5.4998625,5.88325742843249,0.000344042986316174,0.081314529054421,0.669047327961533,"AMBP"
"A_23_P31064",0.658725,-4.7917125,5.88280177672905,0.000344222679400465,0.081314529054421,0.668571361888386,"MOXD1"
"A_23_P79562",1.158775,-9.7896875,5.87256368550703,0.000348287520804427,0.081314529054421,0.657868131122345,"FABP1"
"A_23_P24716",0.907175000000001,-4.6598375,5.87072506955177,0.00034902307634134,0.081314529054421,0.655944218706513,"TMEM132A"
"A_24_P361816",0.724499999999999,-4.98115,5.85109341090277,0.000356984132208809,0.081314529054421,0.635368289228442,""
"A_23_P133536",0.548915,0.9419425,5.84717873176407,0.000358595340050338,0.081314529054421,0.631257977772196,"CAPSL"
"A_33_P3220615",0.578125000000002,-4.8542125,5.84425900774777,0.000359802240815339,0.081314529054421,0.628190753095346,"LIN28B"
"A_33_P3319905",1.0226735,-0.19811575,5.82835405458972,0.000366455533657241,0.081314529054421,0.611458421169332,"TREM1"
"A_33_P3250680",-1.16865,7.51825,-5.82397667838675,0.00036831027529933,0.081314529054421,0.606846245334101,"CD40LG"
"A_23_P16944",0.5101,-3.367575,5.82256564193675,0.000368910340882781,0.081314529054421,0.605358869242661,"SDC1"
"A_32_P182299",-1.62792425,-1.500787875,-5.81636098678318,0.00037156173257925,0.081314529054421,0.598814754001522,"C1orf168"
"A_33_P3639068",0.6254,-3.976725,5.81443226100168,0.00037239017733784,0.081314529054421,0.59677925225481,"GFRA1"
"A_33_P3361112",1.32205,-3.576375,5.81112541673039,0.000373815286479363,0.081314529054421,0.593287953231566,"ABCG8"
"A_33_P3223780",0.803075000000001,-4.5345625,5.80584808360527,0.000376102006913397,0.081314529054421,0.587712626907363,"LAMB2"
"A_33_P3365646",1.0933175,-0.38866875,5.80583451754188,0.00037610790496957,0.081314529054421,0.587698289068506,"LOC100128437"
"A_23_P104471",0.782775,-3.4201875,5.78886951529746,0.000383563761795416,0.0822596110117809,0.569745069087443,"DUSP13"
"A_23_P167882",0.7305105,0.63729725,5.76386616043697,0.000394849697163279,0.0822596110117809,0.543201063735598,"IL17F"
"A_23_P116902",0.782475,-1.2241875,5.75613617038653,0.000398412187648696,0.0822596110117809,0.53497443068077,"ART4"
"A_23_P110624",0.4717,-2.184525,5.74481912379933,0.000403691596533906,0.0822596110117809,0.522912923150752,"CTNND2"
"A_33_P3256278",1.23135,-0.705725,5.74243041664267,0.000404815710633295,0.0822596110117809,0.520364443722309,""
"A_24_P367645",-1.791175,-2.0887375,-5.73867135489118,0.000406591666812369,0.0822596110117809,0.516352088415065,"MAP7D2"
"A_33_P3436935",1.2390025,-1.44682375,5.73821688537129,0.000406806957878111,0.0822596110117809,0.515866841362866,"LOC284930"
"A_23_P205713",0.563275,-2.4531875,5.73741410926875,0.000407187554147857,0.0822596110117809,0.515009618350511,"STXBP6"
"A_23_P51376",0.5755,-3.913925,5.73356450154085,0.00040901808924328,0.0822596110117809,0.510897472897284,"NKAIN1"
"A_23_P321935",0.9934125,-1.39951875,5.72026860777381,0.000415410209182387,0.0822596110117809,0.496676417934126,"OSBP2"
"A_23_P259506",0.89383,-1.470335,5.7202067621504,0.000415440196841045,0.0822596110117809,0.496610202218493,"C5orf32"
"A_23_P332584",1.1086825,-0.10062125,5.71205634456695,0.000419413017070953,0.0822596110117809,0.487878455660649,"KIAA1107"
"A_23_P62099",1.518775,-4.9175625,5.70648795109819,0.000422151212254149,0.0822596110117809,0.481906718948188,"MAGEC2"
