"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_23_P70670",-2.642954,0.583783,-11.0234634327107,6.11601307765384e-07,0.0153316215830626,4.8231793460431,"CD83"
"A_23_P340848",-3.79076,2.40964,-10.0242169752574,1.47878378227372e-06,0.0165832089063912,4.32718681202853,"PTGIR"
"A_23_P119478",-4.200322,1.487739,-9.62887969922632,2.14048842586205e-06,0.0165832089063912,4.10725026861976,"EBI3"
"A_23_P343398",-2.95716,4.87786,-9.40803836162824,2.64611598953108e-06,0.0165832089063912,3.97792853763828,"CCR7"
"A_23_P360964",-2.9377864,-0.5612068,-8.24733802362113,8.65547461879147e-06,0.0362313451650676,3.21319175905195,"DACT3"
"A_24_P79070",-3.084626,2.724487,-8.24557199960221,8.67193517593768e-06,0.0362313451650676,3.21190983944572,"GNG8"
"A_23_P106002",-1.06974,2.06355,-7.68738863127967,1.60651956677312e-05,0.0485390082757061,2.78680538186383,"NFKBIA"
"A_23_P50349",-0.774048,-1.331176,-7.66713344293538,1.6438860904011e-05,0.0485390082757061,2.77060692412639,"TRIP10"
"A_32_P53524",-1.11638,-2.31965,-7.48120408605782,2.03445181845617e-05,0.0485390082757061,2.61927798012245,"NTN1"
"A_23_P45389",-1.38512,1.9768,-7.45499509313167,2.09715756937228e-05,0.0485390082757061,2.59755885529722,"RAB9A"
"A_23_P74097",-1.014304,0.889868,-7.42654454694423,2.16760515904454e-05,0.0485390082757061,2.57387237251877,"TCEB3"
"A_23_P119337",-0.908336,0.746662,-7.30117269064153,2.51007145471724e-05,0.0485390082757061,2.46811910685156,"ATF5"
"A_33_P3395008",-2.88024,1.81492,-7.29877003679514,2.51718169612326e-05,0.0485390082757061,2.46607035543405,"ACOXL"
"A_33_P3250820",1.079542,-1.502249,7.16753246192065,2.94073865039044e-05,0.0526560260628482,2.35288521176811,"FREM2"
"A_23_P1602",-1.760434,-1.284963,-7.08090866606233,3.26224024117396e-05,0.0545185589104992,2.27678547850389,"CDC42EP2"
"A_23_P356616",-1.94223,2.217205,-7.00988583061032,3.55424877824312e-05,0.055686192733124,2.21355339764454,"ABTB2"
"A_33_P3421913",-1.557438,-1.689801,-6.95114264604487,3.81715836490866e-05,0.0562873681714884,2.16067720767383,"CADM1"
"A_23_P126836",-3.058754,2.378943,-6.81262541281591,4.52416197843527e-05,0.0612162117190562,2.0338992881665,"TNFSF4"
