"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_23_P302595",-1.068825,-2.1084625,-10.0224160433284,8.1294895983245e-06,0.187272139738797,2.95585807774896,"C6orf218"
"A_24_P201171",-0.693574999999999,-3.1850375,-8.09968016796796,3.91029556988052e-05,0.187272139738797,2.01396267471335,"STXBP1"
"A_23_P7313",-1.287825,-7.7217875,-7.69873383101563,5.6367061101532e-05,0.187272139738797,1.77148452788199,"SPP1"
"A_24_P844984",0.993919999999999,1.036615,7.57167494250803,6.34919395705959e-05,0.187272139738797,1.69074264035042,"PIGR"
"A_32_P452655",0.875925000000001,2.9581375,7.56819449567084,6.37006875921755e-05,0.187272139738797,1.68850355905361,"LGALS9C"
"A_33_P3216763",-0.82469,-0.343025,-7.37113020811885,7.68603132723191e-05,0.187272139738797,1.55929314469216,"EYA1"
"A_23_P46429",-1.077025,-6.9314125,-7.2059309441583,9.02355415920704e-05,0.187272139738797,1.44720240736908,"CYR61"
"A_23_P154379",-0.82157,-1.167265,-7.19673315040454,9.10526684000477e-05,0.187272139738797,1.440857928188,"NAT8"
"A_23_P156025",-0.927125000000001,-4.2465375,-7.10992439724502,9.9181642399292e-05,0.187272139738797,1.38043132202965,"IRX2"
"A_33_P3245228",1.6307075,1.91759625,7.06923395328501,0.000103266085631272,0.187272139738797,1.35176339250518,"BPIFA1"
"A_24_P170774",-0.723145,0.7611025,-7.00082729481193,0.000110559005411777,0.187272139738797,1.30306765206854,"LRCH1"
"A_23_P127288",1.472725,8.5188875,6.96433049975451,0.000114681894907772,0.187272139738797,1.27682791453884,"IL2RA"
"A_33_P3835524",0.6837875,1.24370625,6.93624199236535,0.000117970864925781,0.187272139738797,1.25650952985359,"POU2F2"
"A_23_P168882",0.6168225,1.37883875,6.9121005293497,0.000120881189156255,0.187272139738797,1.23895974208649,"TP53INP1"
"A_33_P3548860",1.3583525,1.96054875,6.90458807554658,0.000121802976287498,0.187272139738797,1.2334821279212,"SEC1"
"A_33_P3419696",-1.298125,-2.4837625,-6.87342049300339,0.000125711217078705,0.187272139738797,1.21067325288516,"FGF2"
"A_33_P3243230",1.53365,2.23175,6.80734561104107,0.000134463705530545,0.187272139738797,1.16187126336855,"IL8"
"A_33_P3302448",1.180825,2.8698875,6.77850840235741,0.000138493084449519,0.187272139738797,1.1403804043497,"LINGO3"
"A_33_P3246838",0.692024999999997,7.9185625,6.7779183043791,0.000138576920068978,0.187272139738797,1.13993940933461,""
"A_32_P385587",-0.641725,-4.1075625,-6.75933369154515,0.000141246178619545,0.187272139738797,1.12602542991252,"ALAS2"
"A_24_P922252",1.07800625,-0.890696875,6.72604634508647,0.000146170411987167,0.187272139738797,1.10098111395259,"SPATA5L1"
"A_32_P181527",1.050825,3.2825375,6.62668538918123,0.000162033934578446,0.198160136810594,1.02528027515101,"C8orf85"
"A_23_P59261",-0.914424999999999,-3.3668125,-6.56053478715858,0.000173646916819059,0.203129143348556,0.974087257566,"TPBG"
"A_33_P3292719",0.587075,0.1675175,6.48841753966184,0.000187365375023558,0.210044392292035,0.917542931838785,"PTX4"
"A_24_P52697",-0.625325,-2.5617625,-6.36316618475848,0.000214126066156848,0.230442472398,0.817490645375488,"H19"
"A_23_P66694",0.623875000000001,4.1893125,6.24767884139801,0.000242576173084497,0.243502418724281,0.723122266250866,"EVI2B"
"A_23_P200685",-0.860749999999999,-3.097175,-6.14473151068516,0.000271478524284189,0.243502418724281,0.637256044593476,"MARC2"
"A_24_P896205",-0.518400000000001,-4.25955,-6.13590425412155,0.000274128135292142,0.243502418724281,0.629815898716469,"LOC645722"
"A_33_P3214720",0.925049999999999,2.453175,6.12642042293792,0.000277006616702578,0.243502418724281,0.621808618728956,"ZC3H12A"
"A_23_P10506",0.661374999999999,7.6406375,6.11215060926877,0.000281400662403083,0.243502418724281,0.609733640018663,"HPGDS"
"A_23_P127948",-0.5817,-6.83895,-6.05514375290588,0.000299736635604671,0.243502418724281,0.561171698451453,"ADM"
"A_24_P247454",-0.662224999999999,-6.4010375,-6.04713564302334,0.000302416186396317,0.243502418724281,0.554308298811812,""
"A_24_P158089",-0.49723,-0.852335,-6.0273927587946,0.000309135617847766,0.243502418724281,0.537343566653146,"SERPINE1"
"A_23_P254797",-0.6047425,-0.87837875,-6.01435648131513,0.00031366251464785,0.243502418724281,0.526107340979144,"BPIFB2"
"A_33_P3304963",0.64825,1.9525,5.96772728908536,0.000330462038993808,0.243502418724281,0.485692021771409,"LRRC27"
"A_33_P3334828",0.6477,3.241675,5.9580912412147,0.000334055778137189,0.243502418724281,0.47729614274549,"INSL3"
"A_33_P3768930",-0.739575,-6.9148125,-5.9334967567645,0.000343424736663161,0.243502418724281,0.455798472490305,""
"A_33_P3737979",-0.8776125,-1.54914375,-5.90815292298612,0.00035338257383474,0.243502418724281,0.433542486441414,"SCARNA23"
"A_33_P3406171",-0.78094525,-0.359527375,-5.86368200052854,0.00037163227594609,0.243502418724281,0.394235157512057,"PABPC5"
"A_24_P361816",-0.561525,-4.8467875,-5.85855597752106,0.000373801635864792,0.243502418724281,0.389683393987294,""
"A_33_P3313145",-0.70625,-5.1695,-5.85810518351597,0.000373993079443646,0.243502418724281,0.38928289415868,"ITIH3"
"A_23_P204286",-0.531974999999999,-2.8497625,-5.84253153243904,0.000380673576832882,0.243502418724281,0.375426144778372,"MGP"
"A_24_P236251",-0.524325,-5.2270875,-5.81954438840916,0.000390775193139707,0.243502418724281,0.354899819023082,"DLK1"
"A_23_P37988",-0.529825000000001,-3.2444375,-5.80301755324807,0.000398219900534041,0.243502418724281,0.340088009377865,"CPNE2"
"A_33_P3423420",-0.96333,-1.04761,-5.76807894876921,0.000414476929773671,0.247811151012458,0.308625272298756,"ZNF750"
"A_23_P96383",-1.00185,-4.7187,-5.73678161164487,0.000429660440432515,0.248307459028604,0.280268181999294,"SRPX"
"A_23_P71530",-0.764850000000001,-4.79705,-5.71717203490035,0.000439484634237013,0.248307459028604,0.2624170131153,"TNFRSF11B"
"A_23_P208516",-0.794062,0.117404,-5.70766439628234,0.000444336475974259,0.248307459028604,0.253738620794643,"MBOAT7"
"A_33_P3341105",0.707900000000001,3.8775,5.6924503588305,0.0004522232110166,0.248307459028604,0.239819798463809,"PDE6G"
"A_23_P141345",-0.849875,-2.8331625,-5.65565099177146,0.000471942675348745,0.25395235360516,0.205991300201379,"MPP3"
"A_23_P49338",-0.86435,-3.7604,-5.60755617400349,0.000499151973054605,0.256764750680875,0.161432179484446,"TNFRSF12A"
"A_23_P327910",-1.117625,-4.4492375,-5.59778768268278,0.000504886217057949,0.256764750680875,0.152333569149172,"ZIC3"
"A_33_P3257165",1.078985,1.1758575,5.59348491694824,0.000507434905453894,0.256764750680875,0.148320685963628,"YPEL1"
"A_23_P41942",-0.81575,-1.99465,-5.58028412646954,0.000515342744351133,0.256764750680875,0.135989446891209,"POLR3G"
"A_33_P3340655",-0.6583125,0.02779625,-5.55554349288206,0.000530530191395463,0.25952572362718,0.112797914399415,"KLHL32"
"A_33_P3367565",0.453425,1.8467375,5.534427082128,0.000543881714376407,0.259662314767067,0.09292033008514,"FNBP1"
"A_23_P253317",0.6063,7.11595,5.5229402322897,0.000551299098485958,0.259662314767067,0.0820750597082407,"GPR171"
"A_23_P15146",0.664975000000001,4.3298875,5.5100385132754,0.00055976265588143,0.259662314767067,0.0698667438437752,"IL32"
"A_33_P3531979",-0.5459,-4.5179,-5.42628435864998,0.000618294308617547,0.262500513302101,-0.010088996965691,"LOC283352"
"A_33_P3289236",-0.558049999999999,-4.3527,-5.42496443940967,0.00061926885177036,0.262500513302101,-0.0113588446990525,"HPR"
"A_23_P116557",0.834925000000001,1.8650375,5.41545305427523,0.000626341413560411,0.262500513302101,-0.0205184277226316,"LGALS9"
"A_23_P216361",-0.962955,-1.4099725,-5.38949262697627,0.000646099796123448,0.262500513302101,-0.0455993408243875,"COL14A1"
"A_33_P3219279",3.51116,1.069045,5.3845179956139,0.000649963384964286,0.262500513302101,-0.0504189431175046,"JPH4"
"A_23_P434919",-0.658025,-3.0987125,-5.35268900214639,0.000675290691097027,0.262500513302101,-0.0813590785144873,"RAB42"
"A_23_P324989",1.085465,-1.2937175,5.34511220154081,0.000681477795420199,0.262500513302101,-0.0887506000380487,"RECQL5"
"A_23_P20484",-0.7411,-4.666325,-5.33429726358735,0.000690416912160474,0.262500513302101,-0.0993186360812253,"FGL1"
"A_33_P3412900",0.58715,2.6089,5.33044038521824,0.000693635818675253,0.262500513302101,-0.103092463063424,"CBLN3"
"A_24_P233786",0.521125,2.9738125,5.32570664718045,0.000697609021089103,0.262500513302101,-0.107727863756669,"FAM129A"
"A_23_P254831",-0.67285,-1.450925,-5.30970164823424,0.000711228251308009,0.262500513302101,-0.123429754736183,"MAGEB2"
"A_23_P140848",-0.467557975,-0.2409735125,-5.27380832924025,0.000742841586758679,0.262500513302101,-0.158808506325283,"MPHOSPH6"
"A_24_P390583",-0.534045,-1.1134025,-5.26538949115182,0.000750477165856509,0.262500513302101,-0.16713980435623,"USP31"
"A_23_P99996",-0.720204,-0.6070155,-5.25910144772438,0.00075623621426452,0.262500513302101,-0.173370696598632,"MAGEL2"
"A_23_P121480",-0.569325000000001,-1.7692125,-5.22490340211864,0.000788415949835758,0.262500513302101,-0.207381381435419,"CD200"
"A_33_P3270863",-1.153425,-2.4954375,-5.21224731930653,0.000800702349021297,0.262500513302101,-0.220021096427022,"XDH"
"A_33_P3314594",0.681225,4.2393375,5.20471800143773,0.000808110974660373,0.262500513302101,-0.227554277446472,"RAB37"
"A_23_P133995",-0.48642,-1.02809,-5.19664557762679,0.000816137360998374,0.262500513302101,-0.235642123859775,"PPIL1"
"A_23_P15272",-0.50975,-1.961925,-5.18616345340148,0.000826690062126725,0.262500513302101,-0.246161709579584,"ABCC6"
"A_23_P117363",-0.423800000000001,-3.35155,-5.1842350356121,0.000828647663736224,0.262500513302101,-0.248099166069564,"SERPINA6"
"A_23_P351275",-0.883943,-0.252401,-5.17408273038184,0.000839037534403766,0.262500513302101,-0.258310065848213,"UPP1"
"A_24_P220485",-1.5071,-4.4323,-5.16590598378144,0.000847509179512894,0.262500513302101,-0.266547466932519,"OLFML2A"
"A_33_P3218905",0.737185,1.0022575,5.16365427348049,0.000849858486538345,0.262500513302101,-0.268817990806681,"FAM13A-AS1"
"A_23_P144827",-0.570425,-3.0566125,-5.154773528334,0.000859193795282553,0.262500513302101,-0.277781827919831,"FBXL7"
"A_23_P130743",1.4391,-3.567,5.15211604398235,0.000862009047467784,0.262500513302101,-0.280466935567824,"DKKL1"
"A_23_P154037",-0.570975,-2.3693875,-5.12960456478505,0.000886265435215733,0.262500513302101,-0.303263440205265,"AOX1"
"A_23_P414654",0.549000000000001,5.62445,5.11177279144204,0.000906008924755468,0.262500513302101,-0.321385861337784,"RAB37"
"A_33_P3693034",0.71707885,0.479778075,5.09852217814423,0.000920991249563053,0.262500513302101,-0.334889651062534,"LOC402779"
"A_33_P3209962",0.707650000000001,2.932175,5.07018545408244,0.000953947601057455,0.262500513302101,-0.363874414174289,"RASGRP2"
"A_23_P64721",-0.616275,-1.4857125,-5.05865673550179,0.000967722517267416,0.262500513302101,-0.375708427032207,"HCAR3"
"A_23_P326760",-1.6279,2.56465,-5.04635518477567,0.000982660750617353,0.262500513302101,-0.388362335400203,"MYRIP"
"A_24_P277934",-0.794599999999999,-6.43145,-5.04465418092474,0.000984746079790568,0.262500513302101,-0.390114224235647,"COL1A2"
"A_33_P3418662",0.74693,0.341525,5.03693670352911,0.000994268117852273,0.262500513302101,-0.398069170656948,"HSD17B3"
