"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_24_P411186",-1.161625,-3.2981625,-9.21313656763339,1.36676841354318e-05,0.156835560291992,2.76259554214231,"BCL11A"
"A_33_P3227793",-2.153175,-3.0637125,-8.89768055272708,1.7745377553188e-05,0.156835560291992,2.60162885712759,"CGREF1"
"A_33_P3302448",1.4038,2.7584,8.54871568208242,2.39048219789146e-05,0.156835560291992,2.4125473997535,"LINGO3"
"A_23_P104804",1.500425,4.6038625,8.54152607701167,2.40545337871154e-05,0.156835560291992,2.40852456105552,"ZBTB16"
"A_32_P88349",1.076975,2.1678125,8.11476944207776,3.5121545651867e-05,0.183193982120138,2.16003994044138,""
"A_23_P32500",0.946199999999999,2.787875,7.33563186151148,7.317103456231e-05,0.229016292687717,1.65301116155772,"STAB1"
"A_23_P302595",-1.034775,-2.1254875,-7.310590448617,7.49916289867308e-05,0.229016292687717,1.6354768200749,"C6orf218"
"A_33_P3262635",1.02715,3.559575,7.00421138538166,0.000101836144526518,0.229016292687717,1.41424881233325,"CECR1"
"A_24_P288890",-0.74422775,-0.435756125,-6.97185589301954,0.000105241997334643,0.229016292687717,1.3901464508127,"FAM101A"
"A_33_P3279193",-1.119795,0.1849375,-6.96726140303179,0.000105735751646874,0.229016292687717,1.38671221333612,""
"A_23_P87049",1.2722975,0.65994375,6.87325242726363,0.000116421943412776,0.229016292687717,1.31579980638746,"SORL1"
"A_32_P452655",0.8015,2.99535,6.83538614079575,0.000121058762439698,0.229016292687717,1.28688709098438,"LGALS9C"
"A_23_P216361",-1.0581975,-1.36235125,-6.78848064131518,0.000127087404297881,0.229016292687717,1.25079114069357,"COL14A1"
"A_33_P3421163",0.70661,0.950795,6.77985769870702,0.000128231354743952,0.229016292687717,1.24412131741641,"TP53INP1"
"A_32_P78681",-0.698949999999999,-2.1776,-6.68207221521816,0.000142030464952513,0.229016292687717,1.16773738654512,"GLP2R"
"A_32_P181527",1.0642,3.27585,6.67792345480626,0.000142651106291885,0.229016292687717,1.16446607031335,"C8orf85"
"A_33_P3424339",-0.8867575,-1.18812125,-6.61976104880253,0.000151674449469001,0.229016292687717,1.11834037976375,""
