"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_24_P113264",-0.793328199999999,-0.7442659,-5.39756562966487,0.000297291249166711,0.99996541983712,-3.52299564027739,"FBXO27"
"A_23_P306845",1.24265,-0.142503,5.27566462938439,0.000353951870538051,0.99996541983712,-3.53926667403132,"TSGA10IP"
"A_23_P24083",-0.67476,-2.25768,-4.57959513230463,0.000998279436228943,0.99996541983712,-3.64641887902365,"PNLIPRP2"
"A_33_P3293164",-1.576267,-0.8787445,-4.35869833231382,0.00140739311343475,0.99996541983712,-3.68610869207455,"CHGA"
"A_23_P391764",-0.5447,1.73137,-4.35165481592927,0.00142305005254865,0.99996541983712,-3.6874236967357,"RAPGEF1"
"A_23_P364355",0.4598412,0.3664234,4.33177310408224,0.00146824504793374,0.99996541983712,-3.69115242966706,""
"A_32_P189781",-0.75056,-2.8332,-4.31015862304064,0.00151910247134405,0.99996541983712,-3.69523453100558,"C14orf34"
"A_33_P3283626",1.082624,0.153142,4.19257843134413,0.00183028440877615,0.99996541983712,-3.71796609717258,"RNPC3"
"A_23_P138105",1.020518,-0.798461,4.16771721058574,0.00190429562616415,0.99996541983712,-3.72288775621958,"MED18"
"A_33_P3248962",0.7818098,-0.2103611,4.03279633352639,0.00236473070992116,0.99996541983712,-3.75031505150242,"LOC100131742"
"A_24_P344976",0.599692,0.107862,3.93554521318711,0.00276824029296206,0.99996541983712,-3.77085077736976,"ARR3"
"A_23_P208210",-0.3644318,-0.3497581,-3.9103703672218,0.00288403128242331,0.99996541983712,-3.77627318259292,"ZNF432"
"A_33_P3398932",-0.544384,1.514728,-3.86159916379634,0.00312300734060409,0.99996541983712,-3.78690389225823,"MBD1"
"A_33_P3270776",1.1002722,-1.2342239,3.80037658735965,0.00345262727178963,0.99996541983712,-3.80048554209868,"HTRA3"
"A_24_P154868",0.7132768,-0.0404984,3.7614546836168,0.0036808974508246,0.99996541983712,-3.80925821514055,"MEP1A"
"A_23_P1320",0.9541862,0.0717689,3.75104597490455,0.00374457236120349,0.99996541983712,-3.81162255869579,"MYOZ1"
