"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_23_P106362",4.695164,2.563198,13.6213005439876,8.29705387542338e-08,0.00234731951189603,6.93891728952045,"AQP9"
"A_23_P70670",2.715446,0.547537,12.405608427146,2.02355863070031e-07,0.00286242486105712,6.40604599680243,"CD83"
"A_23_P119478",4.10578,1.53501,10.9975911877468,6.29527775000777e-07,0.00507225532321172,5.66772167703447,"EBI3"
"A_23_P45389",2.054418,1.642151,10.7619524826033,7.70553471060561e-07,0.00507225532321172,5.52939117963532,"RAB9A"
"A_32_P108156",4.663402,3.036439,10.5883848470536,8.96443272279475e-07,0.00507225532321172,5.42451827972451,"MIR155HG"
"A_24_P411121",2.07198,2.90715,10.2556093395067,1.20538003692275e-06,0.00550060823125457,5.21608917048571,"TNFRSF18"
"A_33_P3395008",3.2104484,1.6498158,10.1217171933348,1.36100730333965e-06,0.00550060823125457,5.1294032506812,"ACOXL"
"A_33_P3274084",2.881842,-1.179699,9.43117863347346,2.60273133430287e-06,0.00894761123797606,4.65493955309644,"RHBDL3"
"A_23_P340848",4.689374,1.960333,9.28375524066375,3.00416449984157e-06,0.00894761123797606,4.54738708824142,"PTGIR"
"A_23_P356616",2.33918,2.01873,9.2313552357196,3.16270589161785e-06,0.00894761123797606,4.50860281161926,"ABTB2"
"A_23_P131435",1.43398664,-0.85880668,8.85592038618314,4.60401206174494e-06,0.00978649556791613,4.22193031789809,"CD302"
"A_33_P3272231",4.438382,0.517449,8.83568469217967,4.69982612821599e-06,0.00978649556791613,4.2060302248435,"MFSD2A"
"A_23_P106002",1.18496,2.00594,8.77376366408407,5.00674608709801e-06,0.00978649556791613,4.1570841899423,"NFKBIA"
"A_33_P3402035",2.1489878,1.0626261,8.75222080931035,5.11858426738373e-06,0.00978649556791613,4.13995171788741,"TRAF4"
"A_23_P343398",3.26786,4.72251,8.73894828836994,5.18883862425301e-06,0.00978649556791613,4.12936963580609,"CCR7"
"A_24_P919452",1.07744,2.41994,8.49512768494969,6.68504952755504e-06,0.0118204210115037,3.93128610157147,""
"A_23_P360964",2.8748064,-0.5297168,8.22131425836581,8.9462099514154e-06,0.0148880721020878,3.70026831491277,"DACT3"
"A_24_P79070",3.142134,2.695733,8.09825492994916,1.02226136299762e-05,0.0159981663160851,3.59339297429329,"GNG8"
"A_23_P74097",1.050444,0.871798,8.05269642739966,1.07442352693654e-05,0.0159981663160851,3.55333564673301,"TCEB3"
"A_24_P305938",2.099706,1.804747,7.97809874438173,1.16618099113105e-05,0.0164962132100443,3.48716647951741,"RAB9BP1"
"A_23_P1602",1.837474,-1.323483,7.86028398792409,1.32888634543593e-05,0.0177171560744679,3.38118125061164,"CDC42EP2"
"A_23_P15654",1.800144,0.279534,7.76589397556299,1.47703679373176e-05,0.0177171560744679,3.29494087517211,"TRAF4"
"A_23_P126836",3.06969,2.373475,7.75863850237136,1.48914461112511e-05,0.0177171560744679,3.28826242760649,"TNFSF4"
"A_23_P413760",1.516222,1.904189,7.75041806304984,1.50299298641699e-05,0.0177171560744679,3.28068718848666,"P2RX5"
"A_23_P384329",1.32888,2.57936,7.54181132957148,1.90563181130848e-05,0.0215404086087871,3.0853740491513,"DENND4A"
"A_23_P119337",1.0605962,0.6705319,7.50872551974259,1.97960702636338e-05,0.0215404086087871,3.05384577083254,"ATF5"
"A_23_P433785",1.61046,2.54163,7.45094570637303,2.11636663252056e-05,0.0221756031113478,2.99841919481494,"P2RX5"
"A_23_P139500",2.34152,-3.65516,7.28775996331357,2.56101450412487e-05,0.0258763076200702,2.83933095900911,"BHLHE41"
"A_33_P3421913",1.645778,-1.733971,7.23915713855895,2.71228174488088e-05,0.0263883116885307,2.79121200337649,"CADM1"
"A_23_P213385",2.3131718,-0.7419941,7.20120882231209,2.83711280640392e-05,0.0263883116885307,2.75340383403714,"BASP1"
"A_33_P3271111",1.7249482,0.5194459,7.18523344908979,2.89151200856969e-05,0.0263883116885307,2.73742484522419,"NINJ1"
"A_23_P88069",2.27086,-3.19537,7.06820848944793,3.32616113616496e-05,0.0289055647450305,2.61923361094397,"LHFP"
"A_23_P26336",0.7030922,0.5524139,7.0569199152238,3.37168582441768e-05,0.0289055647450305,2.60772579623692,"ZC3H7A"
"A_24_P331128",1.07236,2.65894,6.95981340388633,3.79232292032147e-05,0.0312783266042558,2.50795017734933,"GNA15"
"A_33_P3219279",4.51439,-0.157885,6.94325007053693,3.86957488653265e-05,0.0312783266042558,2.49079075559291,"JPH4"
"A_23_P368794",2.386376,1.797172,6.89202492693791,4.11945610640167e-05,0.0323732035295027,2.43746058295533,"TCERG1L"
"A_33_P3338300",0.956259999999999,2.28431,6.84407329440304,4.36923275276378e-05,0.0334080983266054,2.38717857795033,"CASZ1"
"A_33_P3394933",1.3001442,-0.8967479,6.78135996713032,4.72090161286249e-05,0.0351182296705907,2.3208888597237,"P4HA2"
"A_33_P3835524",0.70844,1.8774,6.7610666389776,4.84115427928683e-05,0.0351182296705907,2.29930927297213,"POU2F2"
"A_24_P396702",1.103938,-1.219331,6.70102602893676,5.21673351840555e-05,0.0368966519923029,2.23509168727853,"CD302"
"A_32_P62211",1.150486,1.287357,6.64828424229363,5.57268447925849e-05,0.03845288209822,2.17822029477767,""
"A_23_P128166",0.60534,1.55089,6.55574006622318,6.26224511226838e-05,0.0421821848740916,2.07738121200611,"RAB21"
"A_23_P30435",0.58376,2.25068,6.51394388484708,6.60338753536868e-05,0.0434456829681664,2.03139770659554,"TNIP1"
"A_23_P427703",2.147076,-1.438902,6.47514568838194,6.93805444443015e-05,0.0436565359652992,1.98846536926575,"MT1L"
"A_23_P202156",0.8242,2.63352,6.47446798529695,6.9440603670371e-05,0.0436565359652992,1.9877133327251,"NFKB2"
"A_23_P30363",1.703522,-1.626979,6.43161982552625,7.33541423442209e-05,0.0442914989886713,1.94001712359598,"P4HA2"
"A_33_P3278540",0.745088,-0.067182,6.41813679698892,7.46343099769926e-05,0.0442914989886713,1.92494805569518,"MRPL14"
"A_33_P3289005",2.474602,-0.299591,6.41109819143057,7.5312154488168e-05,0.0442914989886713,1.91706995123995,"AP1S3"
"A_23_P37983",2.1625598,-1.4669601,6.3967675159347,7.67128574615565e-05,0.0442914989886713,1.90100556958696,"MT1B"
"A_24_P122403",0.808718,0.781635,6.33613006409574,8.29582550607555e-05,0.0469394398784767,1.83266792084699,"TCEB3"
"A_32_P109683",1.6543932,1.5088834,6.2958749803963,8.74057843613684e-05,0.0484862165758328,1.78697417025585,"PAGE2B"
"A_23_P144827",-0.523299999999999,-3.40005,-6.27107319505926,9.02734144917514e-05,0.0487381911488189,1.75869118493751,"FBXL7"
"A_33_P3270109",0.769464,0.903148,6.26235385072036,9.13055081434874e-05,0.0487381911488189,1.74872431766004,"LEO1"
"A_23_P321388",1.504904,2.231768,6.15678458685992,0.000104862088915711,0.0539979232800119,1.62706945542896,"RNF19B"
"A_23_P72912",1.442704,-0.020706,6.15595857010314,0.000104976345141588,0.0539979232800119,1.62611040609467,"SLC4A8"
"A_33_P3243230",1.901874,2.336223,6.11166816515528,0.000111303321693741,0.0554557312678517,1.57452309153945,"IL8"
"A_23_P51936",2.836398,2.497421,6.10083261074896,0.000112912903577672,0.0554557312678517,1.56185332077078,"TNFRSF9"
"A_33_P3389704",-0.588958,-1.090561,-6.08359520086255,0.000115525302057096,0.0554557312678517,1.54165819211245,"CES1"
"A_23_P212089",1.05078,2.91139,6.08277510003906,0.000115651201611935,0.0554557312678517,1.54069615315025,"NFKBIZ"
"A_23_P1782",0.92164,2.9452,5.99454117816348,0.000130098766601898,0.0597492620618054,1.43654239190933,"CD82"
"A_33_P3231156",1.53542064,-0.82150968,5.98335391499665,0.000132064990646876,0.0597492620618054,1.42324455007514,""
"A_23_P106844",2.546358,-1.561001,5.98170555749024,0.000132357389341485,0.0597492620618054,1.42128345870018,"MT2A"
"A_23_P86330",0.906824,1.410968,5.97779961826489,0.000133053038418357,0.0597492620618054,1.41663466534466,"IER5"
"A_23_P351467",0.959199999999999,2.917,5.94674718292019,0.000138725372155023,0.06132311724434,1.37958626896712,"CMAHP"
"A_33_P3296940",1.27521512,0.44967044,5.89833009051549,0.000148094736383142,0.0644576644156225,1.32149978639058,"FNDC3B"
"A_33_P3413741",2.124258,-2.528191,5.88449452182431,0.0001508954034843,0.0646815433329445,1.30482921970408,"OXTR"
"A_23_P204801",2.1092592,-0.1170996,5.83350439996217,0.000161718766737821,0.0682863526832789,1.24311427563798,"SLC41A2"
"A_23_P133694",1.934724,0.42299,5.80353900591294,0.000168466079159859,0.0693465000669432,1.20664279779559,"SLC29A1"
"A_23_P40956",1.04086,2.09923,5.80065247054402,0.00016913182653915,0.0693465000669432,1.20312157234663,"GHRL"
"A_33_P3368139",0.796834,1.605903,5.76644187455618,0.000177240890443037,0.0714732451954587,1.16128201482207,"MAP3K1"
"A_24_P114255",-0.989714,1.397063,-5.7577314984361,0.000179371546035049,0.0714732451954587,1.15059775023043,"MBOAT2"
