"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_33_P3332362",2.1812825,2.22090875,11.3036916775457,3.33953117893e-06,0.0952668059413362,3.28377533925015,"POU2F2"
"A_33_P3214720",1.145175,2.5632375,8.93254301699838,1.94137046190757e-05,0.225468715170184,2.35931512809423,"ZC3H12A"
"A_23_P351275",-1.025403,-0.323131,-8.34530255276637,3.19142963644876e-05,0.225468715170184,2.06042820830741,"UPP1"
"A_23_P128008",1.59697125,0.612039375,7.78870498081459,5.25232883898182e-05,0.225468715170184,1.74452924053605,"CCDC81"
"A_23_P141345",-0.9113,-2.863875,-7.53397317071737,6.66043983370816e-05,0.225468715170184,1.58829403791249,"MPP3"
"A_33_P3257165",1.17926,1.225995,7.47361119017828,7.05253166518127e-05,0.225468715170184,1.55013336212053,"YPEL1"
"A_32_P452655",0.887275000000001,2.9638125,7.12554103085206,9.87854338961751e-05,0.225468715170184,1.32118311098785,"LGALS9C"
"A_32_P87013",0.993162500000001,1.60526875,7.10069975195969,0.000101238219179128,0.225468715170184,1.30424626934686,"IL8"
"A_23_P452",-0.7271,-1.59985,-7.02867737621312,0.000108739284897137,0.225468715170184,1.25467835600134,"DDR2"
"A_23_P106362",4.3348925,3.56330375,6.96811887927098,0.000115524215083695,0.225468715170184,1.21246200423333,"AQP9"
"A_33_P3219279",3.846335,1.2366325,6.93123796129133,0.000119885244727389,0.225468715170184,1.18650813688858,"JPH4"
"A_23_P127948",-0.637475,-6.8668375,-6.91622944428732,0.000121711852622713,0.225468715170184,1.17589316742558,"ADM"
"A_23_P46429",-0.924775,-6.8552875,-6.89683017680656,0.000124118628615008,0.225468715170184,1.16212700682432,"CYR61"
"A_33_P3304065",-0.855055,0.1982,-6.83449036106588,0.000132216537800561,0.225468715170184,1.1175376375506,"AQP2"
"A_23_P147805",-0.893125,-1.8627625,-6.73264224846036,0.000146734060622451,0.225468715170184,1.04352197474204,"UPP1"
"A_33_P3313145",-0.688775,-5.1607625,-6.72145982257487,0.000148432567476024,0.225468715170184,1.03530619122923,"ITIH3"
"A_24_P208909",-0.724575,-3.0083625,-6.66850059589291,0.000156777433400515,0.225468715170184,0.996154489320935,"TRIM2"
"A_23_P212050",-1.043375,-5.0517125,-6.62689602210787,0.000163697281232706,0.225468715170184,0.965114576144911,"BCHE"
"A_33_P3245228",1.5091075,1.85679625,6.59397129079482,0.000169412963207257,0.225468715170184,0.940372850652635,"BPIFA1"
"A_24_P295590",3.3151225,-3.49731375,6.58879439951956,0.000170331565663189,0.225468715170184,0.936468262608665,"RASSF4"
"A_23_P59261",-0.7884,-3.3038,-6.48677992999166,0.000189604082850668,0.225468715170184,0.858723393273197,"TPBG"
"A_33_P3599591",-0.804375000000001,-3.0918625,-6.47458314132234,0.000192065147557484,0.225468715170184,0.849325344635587,"PAPPA"
"A_33_P3835524",0.6999125,1.25176875,6.45487423706966,0.000196116904855473,0.225468715170184,0.834092115032826,"POU2F2"
"A_33_P3218980",1.101725,7.5197125,6.44930808030081,0.000197278221344417,0.225468715170184,0.829779469173911,"ENTPD1"
"A_24_P392632",-1.052935,-0.2581675,-6.44780853363803,0.000197592381927809,0.225468715170184,0.828616831571285,"TRPM3"
"A_32_P181527",1.2432,3.378725,6.30353352919278,0.000230567392932065,0.242121605133518,0.715169962189316,"C8orf85"
"A_23_P168882",0.5339725,1.33741375,6.24058405388671,0.000246820780120048,0.242121605133518,0.664675016381876,"TP53INP1"
"A_23_P208516",-0.8676325,0.08061875,-6.22819014865324,0.000250167507041912,0.242121605133518,0.654661010049118,"MBOAT7"
"A_33_P3286859",-1.3338425,-1.74677875,-6.18019669661621,0.000263607361577746,0.242121605133518,0.61565757896627,"ATP8A2"
"A_23_P121374",-0.648375,-2.4285875,-6.16216837277673,0.000268859994940801,0.242121605133518,0.600913146694843,"SEMA5B"
"A_23_P7313",-1.14615,-7.65095,-6.14698325697421,0.000273373829398686,0.242121605133518,0.588454383473813,"SPP1"
"A_33_P3351622",0.743224999999999,1.7399625,6.05936753120356,0.00030110557035912,0.242121605133518,0.515856520524943,"MYO3A"
"A_23_P21473",0.67499,-1.28958,6.03180529983734,0.000310459461609961,0.242121605133518,0.4927655917705,"CEP70"
"A_33_P3548860",1.2606525,1.91169875,6.03075631730689,0.000310821725584096,0.242121605133518,0.491884373787691,"SEC1"
"A_23_P218111",-0.683774999999999,-4.6850125,-5.98954856053261,0.000325427806257844,0.242121605133518,0.457126801731643,"SERPINA1"
"A_23_P125082",0.7879,2.289875,5.98290802056824,0.000327851487587211,0.242121605133518,0.451500044803854,"IRF2"
"A_33_P3249872",-0.572924999999999,-3.8209125,-5.95005542762313,0.000340138158937885,0.242121605133518,0.423557726263771,"FBLN1"
"A_33_P3405839",0.5431575,1.37162125,5.89566927860958,0.000361607481519191,0.242121605133518,0.376913759314727,"TPO"
"A_33_P3250865",0.5209925,0.97940375,5.86683880137375,0.000373590009127563,0.242121605133518,0.351990797761156,""
"A_33_P3365621",-1.16709,-0.4415525,-5.84496115634853,0.000382974337028668,0.242121605133518,0.332986888165272,"OR2AT4"
"A_33_P3243887",-0.954075,-3.0967375,-5.83260554264899,0.000388388583499526,0.242121605133518,0.322219271149736,"IL11"
"A_23_P109488",0.763525,3.4482875,5.818065564377,0.000394868103288543,0.242121605133518,0.309515618622523,"PIK3IP1"
"A_33_P3286789",0.55915675,0.365206625,5.80873191328692,0.000399090105637361,0.242121605133518,0.301342256605947,""
"A_23_P154379",-0.633995,-1.0734775,-5.80838939165408,0.000399245983950358,0.242121605133518,0.301042039120378,"NAT8"
"A_23_P112554",-0.837125,-3.7637875,-5.80410856306511,0.000401199805333348,0.242121605133518,0.297288280248126,"COL15A1"
"A_23_P121064",-0.590950000000001,-5.768575,-5.79421360113018,0.000405756344156872,0.242121605133518,0.288599939753567,"PTX3"
"A_32_P24376",-0.689125,0.014885,-5.76000643573778,0.000421952176878165,0.242121605133518,0.258438188833173,"LOC730755"
"A_24_P911676",1.3287,1.095825,5.73740381946976,0.000433043029141615,0.242121605133518,0.23840108582329,"SOX4"
"A_23_P412577",-0.51341,-1.08647,-5.73414166955832,0.000434670020966747,0.242121605133518,0.235502120653265,"ANKRD29"
"A_24_P178444",-0.45085,-4.13155,-5.71748299691237,0.000443083937157816,0.242121605133518,0.220670179167503,""
"A_23_P49338",-0.917625,-3.7870375,-5.71693557421314,0.000443363448446671,0.242121605133518,0.220181991446819,"TNFRSF12A"
"A_33_P3338928",-2.13155,-5.67375,-5.70219803616603,0.000450961663038022,0.242121605133518,0.207020153045028,"DAB2"
"A_24_P299685",-0.840075,-4.6096875,-5.6867894929455,0.000459059122268849,0.242121605133518,0.193219803433921,"PDPN"
"A_23_P352266",-0.75575,2.906625,-5.68581789978963,0.000459575038945096,0.242121605133518,0.19234826899439,"BCL2"
"A_23_P356494",-0.935425,-2.0040875,-5.67231765981081,0.00046680997939999,0.242121605133518,0.180221784107219,"SPINK5"
"A_32_P385587",-0.514125000000002,-4.0437625,-5.64536451987952,0.000481631646252633,0.245348320940158,0.155918760331361,"ALAS2"
"A_23_P213385",1.98064925,-0.190420375,5.60087579751631,0.000507239620481965,0.246466944851681,0.115533372466311,"BASP1"
"A_24_P53353",0.832815,-1.5220925,5.59645085009134,0.000509867275928459,0.246466944851681,0.111498036939783,"RAB12"
"A_23_P130113",-0.665924999999999,-5.0224125,-5.58350672331637,0.00051764002840472,0.246466944851681,0.0996743399884039,"ASGR2"
"A_33_P3220615",-0.8336,-4.8614,-5.58227456227749,0.000518386675468883,0.246466944851681,0.098547333794702,"LIN28B"
"A_23_P87709",-0.944374999999999,-5.2399375,-5.55417085753658,0.000535741603026712,0.250395442595205,0.0727711307029004,"PLBD1"
"A_23_P113111",-1.957945,-0.5996575,-5.53106931444303,0.000550485445613884,0.250395442595205,0.0514808250873102,"AR"
"A_33_P3292886",1.0608,0.7821,5.52722508343176,0.00055298183768002,0.250395442595205,0.0479290413873992,"KRT6A"
"A_23_P64121",-1.1284,-2.6063,-5.49320043325501,0.000575626400102959,0.251804748181455,0.0163811312156268,"C11orf41"
"A_23_P116557",0.9696,1.932375,5.49101881324483,0.00057711265847826,0.251804748181455,0.014351459618692,"LGALS9"
"A_33_P3212570",0.9904325,1.60758375,5.48305365596713,0.000582574872225472,0.251804748181455,0.00693404076165116,""
"A_24_P233786",0.493924999999999,2.9602125,5.44245138079792,0.000611314048840791,0.260282923451959,-0.0310480307460042,"FAM129A"
"A_23_P20484",-0.593900000000001,-4.592725,-5.39692537495658,0.00064539995461246,0.269851674479005,-0.0739792141817563,"FGL1"
"A_23_P76102",0.81715,2.133925,5.3875092991769,0.000652706752867507,0.269851674479005,-0.0829040558116407,"GDF11"
"A_23_P23155",-0.938875000000001,-5.2709375,-5.34610288546268,0.000685931193723487,0.279536559476427,-0.122335895547545,"AJAP1"
"A_24_P375761",-0.7307525,-1.19799875,-5.32887330423533,0.000700298293633084,0.281371963696774,-0.138833174010956,"STGC3"
"A_33_P3412418",1.020635,-1.1845825,5.30460718103339,0.000721094838114112,0.282594432427299,-0.162157247820675,""
"A_23_P148255",-0.607025,-6.0592125,-5.30118504596384,0.000724081691886145,0.282594432427299,-0.165454949948781,"MAGEA2B"
"A_33_P3289236",-0.513275,-4.3303125,-5.29099119847332,0.000733059487489751,0.282594432427299,-0.175290488117631,"HPR"
"A_23_P214079",-0.46445,-1.62645,-5.27593565321983,0.000746542699318593,0.28395498111282,-0.18985070087717,"SPINK1"
"A_33_P3366987",1.4287175,-1.77611625,5.25428291994742,0.000766412406354582,0.287676930474699,-0.210861977846798,"GPR125"
"A_33_P3303857",1.234775,3.1596875,5.23237008765767,0.000787111570705048,0.291609503603934,-0.23221101480395,"SLAMF6"
"A_33_P3213086",-0.5988975,-0.79183125,-5.2005480273707,0.000818268250303878,0.297312327433291,-0.263367639816925,""
"A_23_P302018",0.777455,1.3381225,5.19548476113625,0.000823348892881481,0.297312327433291,-0.26834180641386,"TXK"
"A_33_P3239527",0.65824,0.887705,5.1754532065057,0.0008437901072887,0.300885004882809,-0.288066110345518,"LOC100128517"
"A_32_P196142",-0.472955,-1.0334475,-5.14911230331567,0.000871518913704071,0.303555418838342,-0.314113129127215,"LOC100130938"
"A_23_P162142",-0.514699999999999,-2.39255,-5.1375951971455,0.000883954553434271,0.303555418838342,-0.325541128758732,"TSKU"
"A_33_P3410011",1.23645,2.14425,5.13593581066015,0.000885762213172579,0.303555418838342,-0.327189654524345,"PBXIP1"
"A_23_P216361",-0.91383,-1.38541,-5.12856296574855,0.000893842857027404,0.303555418838342,-0.334520271537788,"COL14A1"
"A_23_P205428",-0.98665,-2.103375,-5.11070064380603,0.000913756025800721,0.306066651588921,-0.352321120829694,"FOXG1"
"A_23_P10873",0.610324999999999,1.7057125,5.0865760996854,0.000941423858122011,0.306066651588921,-0.376454538920192,"TLR1"
"A_33_P3288039",0.604575,2.0073375,5.07235115922927,0.000958166140897769,0.306066651588921,-0.390734288652027,"ATP9B"
