"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_23_P109488",1.472625,3.0937375,11.9063276480943,2.02620872047327e-06,0.0546306395214003,3.43225885081196,"PIK3IP1"
"A_23_P84118",-0.767225,-3.9649375,-7.6270448347554,5.70867225173346e-05,0.273053269632759,1.6399479759037,"CDH18"
"A_33_P3351622",0.765749999999999,1.7287,7.29582512934196,7.85166672488606e-05,0.273053269632759,1.43074696651037,"MYO3A"
"A_23_P164042",0.834674999999999,3.7027625,7.23703198476299,8.31832710770347e-05,0.273053269632759,1.39217709292292,"ERN1"
"A_24_P365767",-2.6654,-4.464875,-7.21936307088064,8.46450855443284e-05,0.273053269632759,1.38049888174393,"CYBB"
"A_33_P3212570",1.09883,1.553385,7.21605648643046,8.49217971635207e-05,0.273053269632759,1.37830891878527,""
"A_33_P3362587",-1.0291975,-0.87642625,-6.95198172357924,0.000110620689551048,0.273053269632759,1.19875599052109,"C10orf27"
"A_32_P88349",0.8705,2.064575,6.84673849090526,0.000123169682305024,0.273053269632759,1.1245715180756,""
"A_24_P406334",-1.672175,-4.7920375,-6.84053457740385,0.000123957068004501,0.273053269632759,1.12015060039732,"STEAP1"
"A_23_P301521",-1.027975,-4.6360875,-6.83644826068547,0.000124478730575372,0.273053269632759,1.11723575247963,"KIAA1462"
"A_33_P3210605",0.68239,-0.13321,6.70727621725192,0.000142287109380318,0.273053269632759,1.02388355768346,""
"A_23_P350895",-1.1611475,-1.47372625,-6.67245219862252,0.000147557246960091,0.273053269632759,0.998310163122629,"RABGAP1"
"A_23_P131935",-1.102925,-3.8151375,-6.63804356736178,0.000152976940353244,0.273053269632759,0.972870251699263,"FERMT1"
"A_24_P252497",-1.50725,-3.85445,-6.56791135791859,0.000164716830096378,0.273053269632759,0.920485605092635,"TRIB1"
"A_23_P216361",-1.0090725,-1.33778875,-6.54165085311826,0.000169365731189908,0.273053269632759,0.900685160962678,"COL14A1"
"A_32_P452655",0.812850000000001,3.001025,6.53363630055559,0.00017081323619639,0.273053269632759,0.89462193326217,"LGALS9C"
"A_32_P127350",-1.0127,-2.316025,-6.47080655837846,0.000182645423197775,0.273053269632759,0.846759474761693,"LINC00461"
"A_32_P181527",1.256575,3.3720375,6.39031667027131,0.000199143724217643,0.273053269632759,0.784580610787815,"C8orf85"
"A_23_P84576",-1.66355,-3.491225,-6.38237356663475,0.000200858905449987,0.273053269632759,0.778391475920555,"ANTXR1"
"A_23_P75769",-1.830775,-4.9978625,-6.37462972151899,0.000202546747001527,0.273053269632759,0.772348373650829,"MS4A4A"
"A_33_P3405839",0.589615,1.3483925,6.26337523040473,0.000228603017689669,0.293293880601043,0.684515055408326,"TPO"
"A_33_P3250671",1.26039,0.5896225,6.20090781532953,0.000244837045275748,0.293293880601043,0.634358911528643,"TCF7"
"A_33_P3825869",-0.776775,-3.1268625,-6.15408555887616,0.000257837568776929,0.293293880601043,0.596363697180149,"CACNA1C"
"A_23_P375165",-0.816374999999998,-4.9786375,-6.14283598389818,0.000261073107871265,0.293293880601043,0.587183394490675,"TEX19"
"A_23_P205428",-0.77745,-2.207975,-6.09632588775621,0.000274932490001013,0.295390996708135,0.549015344193936,"FOXG1"
"A_23_P392962",0.8332475,1.16275125,6.02749012392932,0.000296953345009421,0.295390996708135,0.491891585258478,"GRAP"
"A_33_P3292886",0.8970675,0.86396625,6.00160798652751,0.000305729144874869,0.295390996708135,0.47021574933926,"KRT6A"
"A_23_P7582",1.2584175,0.55379125,5.97762819874451,0.000314114949593653,0.295390996708135,0.45003619961139,"TCF7"
"A_23_P141345",-0.66365,-2.9877,-5.96611693371267,0.000318230042502801,0.295390996708135,0.440315983772989,"MPP3"
"A_24_P7750",-1.09885,-4.958325,-5.93761918011187,0.000328674797909801,0.295390996708135,0.41615920137809,""
"A_23_P64913",-0.76737025,-0.107359875,-5.86833755170409,0.000355673601450228,0.295956653644058,0.356875122685013,"PDE6H"
"A_33_P3745020",0.6662725,0.98966375,5.82415628139488,0.000374158560929858,0.295956653644058,0.318654928278912,"LOC100126584"
"A_33_P3302448",1.238625,2.6758125,5.80231491995706,0.000383684408426318,0.295956653644058,0.299640430197771,"LINGO3"
"A_23_P104804",1.3017,4.5045,5.75670503666793,0.000404446901107755,0.295956653644058,0.259676153906652,"ZBTB16"
"A_33_P3245228",1.3215,1.9506,5.75336146704829,0.000406016782809923,0.295956653644058,0.256732701502568,"BPIFA1"
"A_24_P15712",0.948895,1.0971525,5.75308130179195,0.000406148630123933,0.295956653644058,0.256485977471645,"LOC643659"
"A_23_P110837",-0.890675,-4.0235375,-5.74010226747792,0.000412308454025689,0.295956653644058,0.245041648319261,"IRX4"
"A_24_P200000",-0.6223025,-1.32584875,-5.7130156666822,0.000425496616668289,0.295956653644058,0.221066250050153,"STEAP3"
"A_23_P64121",-1.026925,-2.6570375,-5.707786741167,0.000428095448858329,0.295956653644058,0.216423623925525,"C11orf41"
"A_33_P3307728",0.6619225,0.95626375,5.59504740415102,0.000488585581393512,0.296639498681993,0.115191806345456,"KRTAP5-11"
"A_23_P211631",-0.589874999999999,-5.2585875,-5.53390304251215,0.000525266966748213,0.296639498681993,0.0593748103761476,"FBLN1"
"A_33_P3252598",0.779405,0.2183475,5.51055943182003,0.000540058381114327,0.296639498681993,0.0378940473105507,"DEFB136"
"A_33_P3380642",1.050745,1.2821775,5.49006709621929,0.000553419690622263,0.296639498681993,0.0189587659267048,"FRAS1"
"A_32_P78681",-0.684099999999999,-2.170175,-5.47031134341644,0.000566644177551054,0.296639498681993,0.000634639061560804,"GLP2R"
"A_32_P51237",-1.32835,-3.12205,-5.46571352367409,0.000569771350152913,0.296639498681993,-0.00363979432278949,"KANK4"
"A_23_P112554",-0.892575000000001,-3.7360625,-5.44214293797797,0.000586102298951504,0.296639498681993,-0.0256107797464775,"COL15A1"
"A_33_P3265205",-1.19,-1.89035,-5.43553415928617,0.000590772699000078,0.296639498681993,-0.0317885764245958,""
"A_23_P136371",-0.6828325,-1.10818375,-5.42863634417954,0.000595690850462741,0.296639498681993,-0.0382447559502239,"NDST4"
"A_23_P59261",-0.735050000000001,-3.330475,-5.41578795515343,0.000604971689365249,0.296639498681993,-0.050292863457412,"TPBG"
"A_23_P251043",-1.023975,-4.2337875,-5.41280663326282,0.000607147750467315,0.296639498681993,-0.0530926490295043,"SYNDIG1"
"A_33_P3322814",2.14491925,0.338010375,5.38603288321355,0.000627078275341702,0.296639498681993,-0.078306455873177,"NTRK3"
"A_33_P3257165",1.256035,1.1876075,5.38431800920045,0.000628379014871723,0.296639498681993,-0.0799257338628738,"YPEL1"
"A_23_P218047",1.083405,1.2982725,5.37438131341785,0.000635974395205813,0.296639498681993,-0.0893187581366091,"KRT5"
"A_24_P224727",-0.81335,-2.28455,-5.34052572909251,0.000662616495406373,0.296639498681993,-0.121453501379934,"CEBPA"
"A_23_P209678",1.1945,5.548875,5.32712055028922,0.000673500836335291,0.296639498681993,-0.134233634652474,"PLEK"
"A_33_P3420416",0.496505,1.3063475,5.32674770269518,0.000673806351654189,0.296639498681993,-0.134589554972615,"LGALS9"
"A_24_P911676",0.975525,1.2724125,5.32344970835699,0.00067651537243081,0.296639498681993,-0.137738899432374,"SOX4"
"A_23_P202837",-0.710674999999999,-5.2955375,-5.30637615836593,0.000690731603840234,0.296639498681993,-0.154073920487829,"CCND1"
"A_33_P3262635",0.816999999999999,3.4545,5.28419304711808,0.000709692336655937,0.296639498681993,-0.175375285262302,"CECR1"
"A_23_P71830",0.70425,1.085,5.27788581903043,0.000715186709642114,0.296639498681993,-0.181447891389617,"ZBTB26"
"A_33_P3341105",0.888075,3.6736375,5.25918271493916,0.000731754615498608,0.296639498681993,-0.19949719471635,"PDE6G"
"A_24_P295590",3.1356225,-3.40756375,5.25452544945797,0.000735945119986343,0.296639498681993,-0.204001420749338,"RASSF4"
"A_24_P260101",-1.094425,-2.9377875,-5.24243744629486,0.000746944509802162,0.296639498681993,-0.215710396441149,"MME"
"A_33_P3249872",-0.475399999999999,-3.869675,-5.23346666269352,0.000755223513858761,0.296639498681993,-0.224416886004532,"FBLN1"
"A_24_P299685",-0.866849999999999,-4.5963,-5.22537293140276,0.000762779185069084,0.296639498681993,-0.232284597564977,"PDPN"
"A_24_P151582",0.936228,-0.1982085,5.22354323135516,0.000764498669700828,0.296639498681993,-0.234064838516954,"TEF"
"A_23_P153197",0.47423,-0.767935,5.22029613616523,0.000767560604907397,0.296639498681993,-0.237225646472024,"TGIF1"
"A_23_P121064",-0.565700000000001,-5.7812,-5.2166589996598,0.000771006256438315,0.296639498681993,-0.240768388437844,"PTX3"
"A_23_P10121",-0.56725,-4.705375,-5.21444997295618,0.000773107229483056,0.296639498681993,-0.242921249041826,"SFRP1"
"A_23_P47565",-0.69465,-2.38195,-5.21418094567956,0.000773363524299156,0.296639498681993,-0.243183496244104,"LDHA"
"A_33_P3219279",2.821555,1.7490225,5.1932298401494,0.000793611002747093,0.296639498681993,-0.263646725597884,"JPH4"
"A_33_P3214720",0.621675,2.8249875,5.18995473407244,0.000796828117418259,0.296639498681993,-0.266852735327382,"ZC3H12A"
"A_23_P31064",-0.465525,-4.7265125,-5.17604833389324,0.000810647789114719,0.296639498681993,-0.280487362804909,"MOXD1"
"A_33_P3373960",-0.9925025,-0.49960625,-5.16930893542405,0.000817439128349159,0.296639498681993,-0.287107651554621,"RD3"
"A_23_P116902",-0.71896,-1.143245,-5.13309985993592,0.000855007019431397,0.296639498681993,-0.322817850121092,"ART4"
"A_23_P412577",-0.46942,-1.108465,-5.13194985839006,0.000856230652627573,0.296639498681993,-0.323955910136083,"ANKRD29"
"A_23_P503233",-0.565545,-1.2387275,-5.12576940111282,0.000862839651471514,0.296639498681993,-0.330076311309772,"EDARADD"
"A_23_P94800",0.65925,2.23805,5.10337483323017,0.000887257407466412,0.296639498681993,-0.352311534814864,"S100A4"
"A_33_P3292043",-0.5519105,0.19794475,-5.07853115001355,0.000915231022937689,0.296639498681993,-0.377085476845344,"LRRC52"
"A_33_P3338928",-1.52125,-5.9789,-5.06297701714734,0.000933233606262119,0.296639498681993,-0.392653359331026,"DAB2"
"A_23_P41854",0.573774999999999,2.7147875,5.04293213354022,0.000957005679194845,0.296639498681993,-0.412781277132893,"CARD6"
"A_33_P3304065",-0.78058,0.1609625,-5.04283326842972,0.000957124551520965,0.296639498681993,-0.412880734254675,"AQP2"
"A_24_P17870",0.878375,2.2373375,5.04055292255468,0.000959870841401439,0.296639498681993,-0.415175232415632,"HCP5"
"A_23_P422724",-0.836075,-5.8680875,-5.03423753621007,0.000967521601502834,0.296639498681993,-0.421534791507828,"PPIC"
