"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_32_P180741",1.0978025,-0.33081375,9.7168693944077,9.64615106503186e-06,0.267304492163098,2.6138688332783,"TNK2"
"A_33_P3422659",-1.76361575,1.196717125,-7.57566131558444,6.0400811087576e-05,0.270608365439745,1.55470296075554,"GDAP1"
"A_24_P238250",0.9614325,-1.58058375,7.56089276471526,6.12546504237522e-05,0.270608365439745,1.54575099007414,"LGALS7"
"A_33_P3260373",0.8939875,1.04265625,7.51725155314464,6.38569203809809e-05,0.270608365439745,1.5191445596173,"ISY1-RAB43"
"A_23_P137366",-1.4458745,1.02386275,-7.38878858729145,7.22556481431173e-05,0.270608365439745,1.43947869662489,"C1QB"
"A_33_P3210160",-1.14687105,-0.723064475,-7.3808762811699,7.28115933793152e-05,0.270608365439745,1.4345053555031,"ZNF865"
"A_33_P3292287",-1.616455,-0.45821,-7.31330422628476,7.77571853606681e-05,0.270608365439745,1.39171338303089,"KIAA0087"
"A_33_P3348927",-0.7678056,0.4239022,-7.18685343875813,8.80429698576043e-05,0.270608365439745,1.31007876174464,""
"A_33_P3381671",1.1144375,0.18261125,7.16977756979818,8.95438612984173e-05,0.270608365439745,1.29889716901747,"LOC731424"
"A_33_P3210605",1.0920025,-0.33801625,7.03752199789113,0.000102175279057124,0.270608365439745,1.21099919681754,""
"A_23_P332584",1.6249425,0.15750875,6.86651163443626,0.000121522554797663,0.270608365439745,1.09387120364762,"KIAA1107"
"A_24_P252497",-1.703875,-3.7561375,-6.75739203722064,0.000135969093380824,0.270608365439745,1.01702950960813,"TRIB1"
"A_33_P3245228",1.4238325,1.89943375,6.68421465779417,0.000146716570822869,0.270608365439745,0.964558760310067,"BPIFA1"
"A_32_P87013",1.031095,1.5863025,6.659224668421,0.000150599044550039,0.270608365439745,0.946464978896037,"IL8"
"A_33_P3343442",1.0548085,-0.62695325,6.60619525544177,0.000159219028995717,0.270608365439745,0.90777136415262,""
"A_23_P346265",-1.3545325,-0.45525875,-6.46623546832995,0.000184701744452912,0.270608365439745,0.803674461708777,"GNPTAB"
"A_33_P3395547",1.36816225,-1.041868875,6.43157189747439,0.000191687278190736,0.270608365439745,0.777444422776981,"HYALP1"
