"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_23_P46429",-1.246725,-6.6943125,-9.76157617988405,1.0268578274911e-05,0.137648352067872,3.04099514187558,"CYR61"
"A_24_P33895",1.6587,-2.84585,8.58958656884529,2.63247825063158e-05,0.137648352067872,2.44256551156199,"ATF3"
"A_23_P106362",4.4724375,3.49453125,8.4580862535922,2.9451379485296e-05,0.137648352067872,2.36735673033836,"AQP9"
"A_23_P127948",-0.651175,-6.8599875,-8.34194798710833,3.25591048618216e-05,0.137648352067872,2.29945066184412,"ADM"
"A_23_P2920",-0.715824999999999,-5.5624375,-8.21086506402591,3.65127006911455e-05,0.137648352067872,2.22109319443395,"SERPINA3"
"A_24_P365767",-1.3623,-5.116425,-8.19774777667916,3.6936860105783e-05,0.137648352067872,2.21315036070961,"CYBB"
"A_23_P212050",-1.0647,-5.04105,-8.11395596269638,3.97791890651044e-05,0.137648352067872,2.16196924121019,"BCHE"
"A_23_P20022",0.941425,-2.3000125,8.0013868126696,4.3987969528014e-05,0.137648352067872,2.09198769835276,"HILPDA"
"A_33_P3361636",-0.8249,-5.25335,-7.94410669339779,4.63178977789647e-05,0.137648352067872,2.05583088985963,"MGP"
"A_23_P39237",-0.6889025,1.00057375,-7.91276423792035,4.76506221026318e-05,0.137648352067872,2.03588841309874,"ZFP36"
"A_24_P231302",-1.533975,-0.7322625,-7.75554884700753,5.50120432950408e-05,0.144466626787622,1.93414012921203,"PGLYRP4"
"A_23_P356616",1.51291,1.935395,7.34744256062147,8.07577619101697e-05,0.162584917968917,1.65614398816163,"ABTB2"
"A_23_P352494",-0.718849999999998,-8.171775,-7.290507095627,8.53124035815236e-05,0.162584917968917,1.61570456623992,"RHOXF2"
"A_24_P289709",-0.613424999999999,-3.4347375,-7.1248755317869,0.000100264998283293,0.162584917968917,1.49566464720154,""
"A_33_P3214720",0.819425,2.7261125,7.11495918809904,0.000101248279554552,0.162584917968917,1.48836304704392,"ZC3H12A"
"A_33_P3227375",-1.129,-9.018275,-7.09421667394521,0.000103339795962432,0.162584917968917,1.47304747247383,"THBS2"
"A_23_P141345",-0.668575,-2.9852375,-7.08859736516611,0.000103914613447467,0.162584917968917,1.46888845373422,"MPP3"
"A_33_P3407424",-0.60295,-5.816725,-7.00258871724377,0.000113169637813884,0.162584917968917,1.40470005667847,"CDC42EP1"
"A_23_P127406",0.5686225,-0.88043875,7.00197630640845,0.000113238728032291,0.162584917968917,1.40423942044275,"KDM4D"
"A_33_P3420862",1.4314,3.01525,6.96920006357958,0.000117005490212599,0.162584917968917,1.37951150227665,"PAGE2B"
"A_23_P301521",-1.074975,-4.6125875,-6.95909642477821,0.000118194456930358,0.162584917968917,1.37185921606725,"KIAA1462"
"A_33_P3342375",-1.735275,-9.6833875,-6.86233920306107,0.000130283343573497,0.167299254273484,1.29786419911406,"MAGEA6"
"A_23_P110837",-1.018725,-3.9595125,-6.83260575060714,0.000134268495650708,0.167299254273484,1.27486406097382,"IRX4"
"A_23_P125383",1.039675,-2.8940125,6.79812460052078,0.000139059798820724,0.167299254273484,1.24803595034697,"TMEFF2"
"A_23_P218111",-0.849399999999999,-4.6022,-6.70614688238892,0.000152792015233019,0.167299254273484,1.17564862230191,"SERPINA1"
"A_33_P3219279",4.1546975,1.08245125,6.70476252816474,0.000153009841214619,0.167299254273484,1.17454989894388,"JPH4"
"A_23_P205428",-0.81445,-2.189475,-6.68367542758078,0.000156370681115521,0.167299254273484,1.15777961420931,"FOXG1"
"A_23_P259071",-0.941324999999998,-4.3451125,-6.62701717392969,0.000165812209036824,0.171064902944526,1.1124021936521,"AREG"
"A_32_P70927",1.451875,2.7694375,6.54053625445334,0.000181461995905156,0.176402210172844,1.04223816110057,"PAGE2"
"A_33_P3282698",-0.765679,-0.669193,-6.53144974167791,0.000183198888953,0.176402210172844,1.03480225290544,"GNAZ"
"A_33_P3412418",1.00521,-1.17687,6.4148143269116,0.000207203855531864,0.187101041163651,0.938263891771948,""
"A_33_P3242798",-0.78145,-7.966075,-6.41454147252366,0.000207263935930932,0.187101041163651,0.938035663634224,"CPS1"
"A_24_P299685",-0.921374999999999,-4.5690375,-6.37139752312773,0.000217010408767274,0.18996302054728,0.901806565458101,"PDPN"
"A_23_P94879",-0.70485,-6.8478,-6.30771140741213,0.000232335114020475,0.196959134006207,0.847810781835295,"F2"
"A_23_P357881",-0.978800000000001,-4.625025,-6.25833330246182,0.000245039730905453,0.196959134006207,0.805518204048209,"CD8B"
"A_23_P106117",-0.499975000000001,-3.5242625,-6.25016673971547,0.000247213882512623,0.196959134006207,0.798487267397262,"SIX6"
"A_23_P117437",-0.691563,0.636601,-6.18876853892629,0.000264257861756271,0.196959134006207,0.745295558513827,"IL25"
"A_33_P3222539",-0.5642625,-0.57578875,-6.1592775791169,0.000272901951146577,0.196959134006207,0.719537299784677,""
"A_33_P3262854",1.5210425,-1.78900375,6.14135777525411,0.000278306435575331,0.196959134006207,0.703818983990821,"LIMS3L"
"A_23_P84576",-1.42325,-3.611375,-6.11677933239428,0.000285911989585221,0.196959134006207,0.682177823630765,"ANTXR1"
"A_23_P130333",-1.14615,-8.1956,-6.0934669923014,0.000293337948616737,0.196959134006207,0.661563268181991,"TTR"
"A_23_P133694",1.630885,0.9001325,6.08918377173294,0.00029472531803881,0.196959134006207,0.657766355307898,"SLC29A1"
"A_23_P159851",-0.824375,-3.2845125,-6.07478725631899,0.000299441731425637,0.196959134006207,0.644983045275613,"SLC7A3"
"A_33_P3322814",3.153475,-0.1662675,6.05249909124544,0.000306908420903459,0.196959134006207,0.625127358114438,"NTRK3"
"A_23_P213385",2.11867925,-0.259435375,6.04504909243377,0.000309449784225556,0.196959134006207,0.618472775399447,"BASP1"
"A_23_P100660",-0.539525,-4.6097375,-6.01375935559826,0.000320379527879762,0.196959134006207,0.590426846604973,"SERPINF1"
"A_33_P3402035",1.403887875,0.9107810625,5.99803521084886,0.000326032098216475,0.196959134006207,0.576273561919349,"TRAF4"
"A_33_P3599591",-0.652550000000001,-3.167775,-5.98640622882398,0.000330283183924411,0.196959134006207,0.565780755247975,"PAPPA"
"A_32_P109683",1.44,3.09085,5.97611864490175,0.000334094837342201,0.196959134006207,0.556480129102947,"PAGE2B"
"A_23_P121374",-0.719875,-2.3928375,-5.93452471197502,0.000350007271411789,0.198392601561219,0.518702236925102,"SEMA5B"
"A_23_P21473",0.745615,-1.3248925,5.86430063540032,0.000378800333033643,0.198392601561219,0.45428274094771,"CEP70"
"A_23_P158925",1.7363525,-1.93374875,5.85321984103026,0.000383577296365911,0.198392601561219,0.444044220384098,"GPR125"
"A_23_P93641",-1.5029,-6.135475,-5.84363320681132,0.000387763635534333,0.198392601561219,0.435170021526385,"AKR1B10"
"A_32_P524614",-0.485335,-0.9297575,-5.84314498846787,0.000387978174347098,0.198392601561219,0.434717681199019,"C17orf74"
"A_24_P295590",3.3988475,-3.53917625,5.83232069358068,0.000392768421773812,0.198392601561219,0.424678766965325,"RASSF4"
"A_24_P178444",-0.467525,-4.1232125,-5.82713089953287,0.000395088191232793,0.198392601561219,0.41985868908364,""
