"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_24_P208909",1.147675,-3.2199125,10.1553158698791,6.59595417445616e-06,0.148181916328392,3.49994108808203,"TRIM2"
"A_23_P109913",-1.428975,8.1486875,-9.25370251113802,1.33258221952341e-05,0.148181916328392,3.04707515989763,"CXCR6"
"A_33_P3332362",-1.8465825,2.05355875,-8.35668934707472,2.84807379674865e-05,0.148181916328392,2.5228753803724,"POU2F2"
"A_23_P141345",1.00105,-2.90875,8.11765584057688,3.52646874868536e-05,0.148181916328392,2.36911296374416,"MPP3"
"A_23_P163697",1.656725,-2.9922375,8.07387862867564,3.66920128374829e-05,0.148181916328392,2.34026245326794,"SYT17"
"A_23_P254831",0.842925,-1.5359625,8.05404827599632,3.73595618398365e-05,0.148181916328392,2.32712202150956,"MAGEB2"
"A_32_P385587",0.7247,-4.14905,7.96270600842497,4.06134156917292e-05,0.148181916328392,2.26601258477114,"ALAS2"
"A_24_P220485",1.71315,-4.535325,7.765509816222,4.87650310106756e-05,0.148181916328392,2.13076070943759,"OLFML2A"
"A_33_P3404480",0.9169775,-1.02193625,7.57986914747188,5.81242143570457e-05,0.148181916328392,1.99916014647751,"MPP4"
"A_23_P156788",-0.84765,3.819075,-7.40104955626926,6.90542505130199e-05,0.148181916328392,1.86834038556274,"STX11"
"A_23_P85240",1.5218,-2.100975,7.37508587927607,7.08225305789542e-05,0.148181916328392,1.84900746395106,"TLR7"
"A_23_P218111",0.828175,-4.7572125,7.2783263049033,7.7867703026533e-05,0.148181916328392,1.77618917075022,"SERPINA1"
"A_23_P142849",0.920925000000002,-5.9214625,7.15717608412564,8.78045773374919e-05,0.148181916328392,1.68327925710045,"RND3"
"A_23_P116898",1.0771,-9.19145,7.1064520595501,9.23749524833769e-05,0.148181916328392,1.64379678010036,"A2M"
"A_33_P3326483",0.827749999999999,-4.9994,7.04289899336794,9.84764497545267e-05,0.148181916328392,1.59383674170746,"CRABP1"
"A_33_P3365621",1.0968375,-0.40642625,6.98796528191549,0.000104110535471733,0.148181916328392,1.55020753919203,"OR2AT4"
"A_33_P3285545",0.665399999999999,-4.92295,6.95296296617185,0.00010788577351543,0.148181916328392,1.52219106757807,"CLDN4"
"A_23_P59637",1.282125,-4.0600625,6.91504316420037,0.000112147210252889,0.148181916328392,1.49164731102526,"DOCK4"
"A_23_P46429",1.293425,-7.0396125,6.86538880530725,0.000118011058349117,0.148181916328392,1.45134742555046,"CYR61"
"A_23_P106362",-4.3987675,3.59524125,-6.84156487128729,0.000120944060493982,0.148181916328392,1.43188852192747,"AQP9"
"A_23_P154379",0.63812,-1.07554,6.83029445120999,0.000122359551376109,0.148181916328392,1.42265510369439,"NAT8"
"A_33_P3389286",0.57915,-5.01595,6.78679355180116,0.000127997067044804,0.148181916328392,1.38684728721054,"SFN"
"A_23_P162142",0.6317,-2.45105,6.74580448557076,0.000133572409271382,0.148181916328392,1.35285982623844,"TSKU"
"A_23_P356494",0.874475,-1.9736125,6.72239745232887,0.000136876122456806,0.148181916328392,1.3333428392742,"SPINK5"
"A_33_P3269570",0.581809999999999,0.986145,6.69755721578781,0.000140481058534002,0.148181916328392,1.31254433739342,"CD160"
"A_33_P3334828",-0.588350000000001,3.212,-6.68510462005726,0.000142327564034337,0.148181916328392,1.30208426585842,"INSL3"
"A_33_P3394272",1.246175,-2.2350125,6.67577926106711,0.000143727890828335,0.148181916328392,1.29423630269714,"LINC00473"
