"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_23_P46429",1.638575,-7.2121875,14.162414895047,4.89717320775489e-07,0.0136861299637126,5.24658755808218,"CYR61"
"A_23_P109913",-1.35385,8.111125,-11.0308792108399,3.44003279148122e-06,0.0400300363751309,4.14624076840009,"CXCR6"
"A_23_P71530",1.114775,-4.9720125,10.7165108561357,4.29706620121633e-06,0.0400300363751309,4.00459592649326,"TNFRSF11B"
"A_23_P142872",1.709775,-4.9226375,10.2662487656863,5.97007040965054e-06,0.0417113894346259,3.78934085617497,"TCF7L1"
"A_23_P134109",-1.2797015,-0.64638925,-9.21392200671956,1.3556393591733e-05,0.0757721063416324,3.22275386307286,"EPB41L2"
"A_24_P302249",1.132075,-6.9736125,8.33819754832346,2.85576338382035e-05,0.106066810449421,2.67293740700284,"APOA2"
"A_33_P3359713",-1.6509725,-1.11883875,-8.31629468388239,2.91183646401631e-05,0.106066810449421,2.65816281160753,""
"A_33_P3286684",-1.4773,2.384125,-8.18580017684443,3.27232401419201e-05,0.106066810449421,2.56903839106125,"IKZF1"
"A_23_P203191",1.003175,-5.2509375,8.13825501066389,3.4157558737782e-05,0.106066810449421,2.5360928149698,"APOA1"
"A_24_P896205",0.708875000000001,-4.3547875,7.93927206224378,4.09654197167868e-05,0.107968284898223,2.39540605059969,"LOC645722"
"A_23_P452",0.768125,-1.6203625,7.89957165161931,4.24965518259726e-05,0.107968284898223,2.36678571052621,"DDR2"
"A_24_P295590",-2.571175,-3.8692875,-7.72148733416716,5.01912760505382e-05,0.115715930061385,2.23609287899951,"RASSF4"
"A_23_P115261",1.1211,-6.360925,7.47740644330579,6.33634831411642e-05,0.115715930061385,2.05066198343075,"AGT"
"A_23_P157865",0.792875,-4.8404125,7.20000786262172,8.31779032562469e-05,0.115715930061385,1.8307090233858,"TNC"
"A_33_P3768930",1.136,-7.113025,7.1231487852349,8.98174696846005e-05,0.115715930061385,1.76797393559041,""
"A_33_P3249872",0.754775,-3.9118375,7.08709637538808,9.31320474892843e-05,0.115715930061385,1.7382728800689,"FBLN1"
"A_23_P106362",-4.6182675,3.70499125,-7.07451437481925,9.43204471268701e-05,0.115715930061385,1.72786600901645,"AQP9"
"A_24_P247454",1.086525,-6.6131875,7.03491908923692,9.81710235217003e-05,0.115715930061385,1.69497521929497,""
"A_33_P3214720",-0.907350000000001,2.444325,-6.97700194524324,0.000104119927827376,0.115715930061385,1.64647831026816,"ZC3H12A"
"A_33_P3219279",-3.270935,0.9489325,-6.93170230608711,0.000109050653855444,0.115715930061385,1.60822411223253,"JPH4"
"A_23_P20484",0.701149999999999,-4.64635,6.81567968910492,0.000122896928679668,0.115715930061385,1.50894004860917,"FGL1"
"A_24_P347378",-0.853325,5.5647875,-6.8031330116133,0.000124506984689756,0.115715930061385,1.49808984368159,"ALOX5AP"
"A_23_P159775",0.932125000000001,-5.8683125,6.79353859260812,0.00012575390135733,0.115715930061385,1.48977764051677,"GABRE"
"A_33_P3348194",-1.41285,-1.266875,-6.73461951252225,0.00013372002894937,0.115715930061385,1.43844496704159,""
"A_33_P3300965",1.01245,-4.28,6.68003601384995,0.00014159912748684,0.115715930061385,1.39044533106677,"HOXC6"
"A_23_P59261",0.712275,-3.2657375,6.67841653739458,0.000141840592138969,0.115715930061385,1.3890146296409,"TPBG"
"A_33_P3326483",1.132425,-5.1517375,6.67337735966612,0.000142594845825192,0.115715930061385,1.38456041776124,"CRABP1"
"A_33_P3639068",0.73975,-3.91955,6.64338127487672,0.000147177165597916,0.115715930061385,1.35797019010886,"GFRA1"
"A_33_P3298539",0.813500000000001,-6.38905,6.60603114642279,0.00015311138450492,0.115715930061385,1.32467787132694,"APOA1"
"A_23_P218111",1.14575,-4.916,6.57944905248302,0.000157495387965191,0.115715930061385,1.30085945779196,"SERPINA1"
