"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_24_P230563",-1.58015,7.734375,-9.45903326601144,1.09387430990782e-05,0.179158207135545,2.80214357267731,"IL2RA"
"A_33_P3399318",1.158975,-5.8282125,8.75465978783312,1.95811937332513e-05,0.179158207135545,2.45581702328615,"GNG12"
"A_33_P3394272",1.487425,-2.1143875,8.282606984425,2.95747349596325e-05,0.179158207135545,2.19726093742363,"LINC00473"
"A_23_P204947",0.8532425,-1.28255375,8.14761687382522,3.33930763943828e-05,0.179158207135545,2.11905623895998,"GJB2"
"A_23_P110837",0.930999999999999,-4.0437,8.14532371550195,3.34624966633442e-05,0.179158207135545,2.1177106489157,"IRX4"
"A_23_P131935",0.995175,-3.7612625,7.92143704736756,4.10779352051953e-05,0.183276054240513,1.98352222024006,"FERMT1"
"A_23_P110957",1.15305,-5.68035,6.96006468793049,0.000104698258964022,0.247453554450671,1.33869214032563,"FOXF2"
"A_33_P3825869",1.01095,-3.24395,6.86738986570328,0.000115163358328657,0.247453554450671,1.27014138791445,"CACNA1C"
"A_23_P64121",1.072,-2.679575,6.842988216541,0.00011810734712637,0.247453554450671,1.25189185926131,"C11orf41"
"A_23_P116902",0.907735,-1.2376325,6.67620586482778,0.000140598493721903,0.247453554450671,1.12488907552678,"ART4"
"A_23_P144656",1.21775,-2.3835,6.65693438919164,0.000143488260791253,0.247453554450671,1.10995562525788,"CDH10"
"A_23_P141345",0.7534,-3.032575,6.65259727253124,0.000144147603070584,0.247453554450671,1.10658733231971,"MPP3"
"A_24_P411186",1.213575,-3.3241375,6.62104901408451,0.000149045413368823,0.247453554450671,1.08200350731369,"BCL11A"
"A_23_P216361",0.7300975,-1.19830125,6.56385728043916,0.000158398910920648,0.247453554450671,1.03706387349847,"COL14A1"
"A_23_P254831",0.8305125,-1.54216875,6.54063714216732,0.000162379590056402,0.247453554450671,1.0186799242427,"MAGEB2"
"A_23_P217704",0.87745,-2.447475,6.50871418295324,0.000168033304336152,0.247453554450671,0.99327456717512,"GYG2"
"A_23_P162142",0.6311,-2.45135,6.49235274934701,0.000171014791202979,0.247453554450671,0.980194480005331,"TSKU"
"A_24_P208909",1.249925,-3.1687875,6.43662340536984,0.000181615827999727,0.247453554450671,0.935339442742708,"TRIM2"
"A_23_P31064",0.66545,-4.826475,6.3017739939247,0.000210388565184782,0.247453554450671,0.824845358492277,"MOXD1"
"A_33_P3310104",0.892825,-3.0126125,6.24160167352842,0.000224817038157188,0.247453554450671,0.774634374550824,"SERPINB5"
"A_24_P185709",1.24705,-2.90655,6.1566191568908,0.000247082678315025,0.247453554450671,0.702752813058223,"EPB41L1"
"A_23_P383258",0.949375,-1.8394375,6.06934379552971,0.00027250016288664,0.247453554450671,0.627737781409794,"GDA"
"A_23_P202837",0.717525,-5.2989625,6.05816232787172,0.000275959150261177,0.247453554450671,0.618038782226304,"CCND1"
"A_23_P135381",1.088325,-8.2388375,6.02063826570798,0.00028792450238411,0.247453554450671,0.58534214954246,"SP5"
"A_23_P370682",0.7405775,-1.45346125,5.99689074706896,0.000295790780795524,0.247453554450671,0.56453176826452,"BATF2"
"A_23_P387184",0.848924999999999,-3.9346375,5.93678310131549,0.000316776607321816,0.247453554450671,0.511447227656213,"NHSL1"
"A_23_P30098",1.589975,-3.3484375,5.87924270283295,0.000338406297309147,0.247453554450671,0.460073900466107,"ADH4"
"A_23_P42282",0.5926,-3.0966,5.85090569855658,0.000349649820749022,0.247453554450671,0.43457266912713,"C4B"
"A_23_P123596",0.714774999999999,-3.4588625,5.84827826000302,0.000350712918137618,0.247453554450671,0.432201406731192,"GLDC"
"A_33_P3391316",1.1291,-4.123225,5.82358549823922,0.000360879039385654,0.247453554450671,0.409859995693376,"LOC441956"
"A_23_P123848",0.541925,-2.2874375,5.81427267940482,0.000364796756934062,0.247453554450671,0.401407554144798,"DAB2IP"
"A_23_P112554",0.94225,-3.7609,5.80236059529154,0.000369876086132052,0.247453554450671,0.390574837856204,"COL15A1"
"A_23_P142849",0.817925000000001,-5.9729625,5.80139097732518,0.000370292933877499,0.247453554450671,0.389692032364454,"RND3"
"A_33_P3235454",-0.579677,-0.112214,-5.78606561456841,0.000376950341332138,0.247453554450671,0.375717854365553,""
"A_23_P53198",0.692875,-2.6759625,5.76302904866324,0.000387205789366324,0.247453554450671,0.35463812086079,"DGAT2"
"A_23_P422724",0.742424999999998,-5.8212625,5.75248736865444,0.000392000451545931,0.247453554450671,0.344962103067107,"PPIC"
"A_23_P156788",-0.706,3.8899,-5.75227663540251,0.000392096960388892,0.247453554450671,0.344768483782547,"STX11"
"A_23_P104741",0.5927,-1.4666,5.71282390492953,0.000410632414299766,0.247453554450671,0.308387536233664,"KIRREL3"
"A_23_P142872",1.264075,-4.7137125,5.71094698910498,0.00041153783648626,0.247453554450671,0.30665018929519,"TCF7L1"
"A_24_P144601",0.702775,-5.1922125,5.7021177815068,0.000415826494057226,0.247453554450671,0.298469507313048,"POU5F1"
"A_33_P3328716",0.6113375,0.65592625,5.69657768368521,0.000418542510755296,0.247453554450671,0.293329582502274,"CCDC13"
