"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_33_P3356007",-0.814835,0.0387925,-7.1122949507017,9.004539586369e-05,0.999998836522624,-3.5272626924268,"ALOX5"
"A_24_P132813",0.7252425,0.67175125,6.80054227941662,0.000123860117962121,0.999998836522624,-3.54535870951355,"OPALIN"
"A_33_P3260373",0.6149875,0.90315625,6.25866115026877,0.000221309946260926,0.999998836522624,-3.58178207204619,"ISY1-RAB43"
"A_32_P180741",0.63085,-0.56429,6.04150243666542,0.000282041360968144,0.999998836522624,-3.59843296258553,"TNK2"
"A_33_P3413344",1.17685625,0.574581875,5.76315607024349,0.000388227586012035,0.999998836522624,-3.62176121853037,""
"A_33_P3356182",0.722345,-0.676795,5.74144047498544,0.000398195667712647,0.999998836522624,-3.62368206188576,""
"A_23_P54340",-1.27216,-0.86357,-5.69423003359477,0.000420848792956526,0.999998836522624,-3.62791091195197,"MEGF11"
"A_33_P3356816",0.678155,0.5975775,5.65836935319425,0.000438999897926719,0.999998836522624,-3.63117223569753,"LCE1B"
"A_23_P139864",-1.2637275,-1.66616125,-5.09852646309422,0.000868184719349536,0.999998836522624,-3.68811491596249,"GSG1"
"A_23_P253301",-1.38925,-5.5082,-5.09741291039101,0.000869400898841827,0.999998836522624,-3.68824044660485,"PFN2"
"A_33_P3257330",1.319177,-0.6007565,5.02502508715778,0.000952587649479724,0.999998836522624,-3.69651461286683,"DCBLD1"
"A_33_P3314952",-0.89958375,0.506998125,-4.99758480081055,0.000986355300051474,0.999998836522624,-3.69971058244646,"TRPV1"
"A_33_P3381671",1.137175,0.19398,4.95783312626436,0.00103760616598747,0.999998836522624,-3.70439954176249,"LOC731424"
"A_23_P56146",-1.017406,-0.1510345,-4.94108962985025,0.00106005444036768,0.999998836522624,-3.70639570558112,"RAX2"
"A_23_P320739",-0.908950000000001,-5.898525,-4.93624108675628,0.00106665322030603,0.999998836522624,-3.70697611184275,"MEF2C"
"A_33_P3292596",0.9630825,-0.55753875,4.84428614023724,0.00120064845501439,0.999998836522624,-3.71818771205607,"ERBB2"
"A_23_P52480",0.88852,1.17634,4.74512427989835,0.00136594557695146,0.999998836522624,-3.73072372728528,"CYP2C18"
"A_33_P3235454",0.4596495,-0.05220025,4.6979514858295,0.00145311619617281,0.999998836522624,-3.73685485647279,""
"A_23_P167812",-0.882374999999999,-1.8908875,-4.66722884858785,0.00151312298570761,0.999998836522624,-3.74090738384824,"RBM24"
"A_33_P3355004",0.71810825,-0.342325875,4.66079099938118,0.00152603466794667,0.999998836522624,-3.74176258943132,"DDC"
"A_23_P131024",0.755075000000001,7.0438875,4.60068749214088,0.00165250610084236,0.999998836522624,-3.74984848467829,"ZBTB32"
"A_33_P3291871",-0.610925,0.6673325,-4.5794783487618,0.00169980880993582,0.999998836522624,-3.75274617689915,""
"A_33_P3292287",-1.196365,-0.248165,-4.56014594735858,0.00174420492291259,0.999998836522624,-3.75540788438427,"KIAA0087"
"A_33_P3399765",-0.77472175,-0.281426625,-4.53717641089365,0.00179859185767306,0.999998836522624,-3.75859588341833,""
"A_23_P417821",-0.7747225,0.09235625,-4.49562780902196,0.00190168951931081,0.999998836522624,-3.76443369327996,"DMRTB1"
"A_33_P3369786",-0.746087425,-0.4987487875,-4.46325904175028,0.00198643691697007,0.999998836522624,-3.76904599348254,"UBE2CBP"
"A_23_P5018",-1.08094,-1.436655,-4.43914715359162,0.00205221748871479,0.999998836522624,-3.77251880654438,"LOC80054"
"A_33_P3317483",0.65765575,0.219652125,4.42388433053172,0.00209507069640065,0.999998836522624,-3.77473359476689,"CEMP1"
"A_23_P24211",0.961775,0.8542375,4.36160279369849,0.00228022591924106,0.999998836522624,-3.78390552092173,"MMP21"
"A_33_P3343442",0.7548,-0.7769575,4.35404030093643,0.00230388431456108,0.999998836522624,-3.78503405181675,""
"A_33_P3221343",-1.3293425,-1.60672875,-4.3525121744763,0.00230869697600238,0.999998836522624,-3.78526248368639,"HECTD2"
"A_33_P3319276",1.1782425,-1.11452875,4.35060464152043,0.00231471976243529,0.999998836522624,-3.78554781703269,"FAM178B"
"A_33_P3257013",-1.102165,0.688365,-4.29760858849273,0.00248901193417472,0.999998836522624,-3.79355820257846,""
"A_33_P3323939",1.0762525,0.35555125,4.26849620359111,0.00259073505304947,0.999998836522624,-3.79802752188858,"LIPN"
"A_23_P424734",0.44310955,0.264522725,4.24473374249952,0.00267708593031491,0.999998836522624,-3.80171222930104,"EXOC3L1"
"A_32_P8546",1.122125,-5.8995125,4.24252644079454,0.00268526304101882,0.999998836522624,-3.80205618829818,"LINC00473"
"A_33_P3867391",0.5887525,0.84396125,4.18647115982094,0.00290220248578524,0.999998836522624,-3.81088810832202,"OR7E19P"
"A_23_P153301",-0.5687775,-0.86096625,-4.17653735521266,0.00294257779407323,0.999998836522624,-3.81247286432444,"CEACAM5"
"A_33_P3363120",0.89787175,-0.718149125,4.14829747284292,0.00306069288162482,0.999998836522624,-3.81701061956146,"SCARNA10"
"A_33_P3270228",0.982625,-1.9641625,4.11190581273344,0.0032204752170365,0.999998836522624,-3.82292998063504,"CLCN6"
"A_33_P3265467",-1.02531,-1.12643,-4.09700026109324,0.00328848712241635,0.999998836522624,-3.82537799945295,""
"A_33_P3455785",-0.856750000000001,-2.574825,-4.08818952903702,0.00332941341769653,0.999998836522624,-3.82683150519325,""
"A_33_P3268288",-0.6812455,0.67951225,-4.0835328580073,0.00335126452529412,0.999998836522624,-3.82760166423959,""
"A_23_P79094",0.6640325,-0.28731125,4.07623065433983,0.00338584024432708,0.999998836522624,-3.82881208276079,"LILRA3"
"A_23_P380951",0.70432575,0.568344625,4.02138786177947,0.00365808371621164,0.999998836522624,-3.83800976144652,"ZNF420"
"A_33_P3262854",-1.030879,-1.0231205,-3.99810115623332,0.00378070027708311,0.999998836522624,-3.84197276038104,"LIMS3L"
