"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_33_P3286937",-1.164275,-2.9299625,-9.45361114271267,1.26693233392196e-05,0.194034771308524,1.6013150223385,"PPP1R9A"
"A_23_P380526",-1.00745,-6.0519,-9.13911456271049,1.62771371049213e-05,0.194034771308524,1.50028313900168,"DPPA4"
"A_23_P165624",-1.0842,-2.892075,-8.76964098848024,2.2056287206619e-05,0.194034771308524,1.37246325771324,"TNFAIP6"
"A_24_P918907",1.06573025,0.466769875,8.4379037159433,2.92420590720282e-05,0.194034771308524,1.24854215965521,"LOC154761"
"A_23_P302005",0.884275,-1.5587375,8.29988070792241,3.29710741390865e-05,0.194034771308524,1.1942441312255,"STON1"
"A_33_P3576034",-0.9876875,-1.09058125,-7.61863202841004,6.11141797628135e-05,0.288870556953096,0.90023434223852,"LOC644919"
"A_33_P3227452",0.8974025,-0.76414875,7.32644089155339,8.07084106192265e-05,0.288870556953096,0.759577876517266,""
"A_33_P3391521",1.0163925,1.05462875,7.21314319077253,9.01054100524627e-05,0.288870556953096,0.702467688495266,"ERO1LB"
"A_33_P3407324",-0.881574999999999,-5.1119375,-7.10673306941426,0.000100045907683695,0.288870556953096,0.647465372863496,"GULP1"
"A_33_P3390625",-1.026375,-2.1029125,-7.00680900525635,0.000110496434179494,0.288870556953096,0.594581092460046,"TPTE2P3"
"A_33_P3262854",-1.881075,-1.6089875,-6.992131314651,0.000112130879120407,0.288870556953096,0.586710469425214,"LIMS3L"
"A_33_P3245228",1.6434325,1.92395875,6.94294560118786,0.000117806174458357,0.288870556953096,0.560141586155567,"BPIFA1"
"A_33_P3292719",0.7601475,0.25405375,6.70826093638129,0.000149644545499962,0.328500269197223,0.429156403301336,"PTX4"
"A_23_P342727",-1.719375,-3.3220875,-6.59236676846132,0.00016879200830023,0.328500269197223,0.361819106474788,"STARD13"
"A_24_P315975",1.444975,1.3856875,6.50460673950772,0.00018509429585341,0.328500269197223,0.309620867843994,"KRTAP4-9"
"A_23_P356667",-1.088025,-2.4281375,-6.41188648924027,0.000204230213148629,0.328500269197223,0.253315670377146,"CCDC83"
"A_32_P195647",1.050378,0.6237535,6.27494993240848,0.000236608620928194,0.328500269197223,0.167932919173246,"KLHL15"
"A_23_P362148",-0.943075,-4.8458125,-6.22999421538584,0.000248442192915258,0.328500269197223,0.139311084521896,"DNER"
"A_23_P89380",-0.921835,-1.4849825,-6.22928331745132,0.00024863448727869,0.328500269197223,0.138856100737163,"SLC4A1"
"A_33_P3286859",-1.1556425,-1.65767875,-6.13227144345705,0.000276481834834866,0.328500269197223,0.0760654399215994,"ATP8A2"
"A_23_P168882",0.5692475,1.35505125,6.10838040615092,0.000283855951250165,0.328500269197223,0.0603863016950914,"TP53INP1"
"A_23_P865",0.75376875,-0.440763125,6.10126564345015,0.000286093643257715,0.328500269197223,0.055700418054025,"FRRS1"
"A_33_P3278103",-1.03105,-3.4493,-6.05391341485077,0.000301491010814495,0.328500269197223,0.0243180617933394,""
"A_23_P131024",-1.59455,6.0292,-6.01341580871512,0.000315385256447182,0.328500269197223,-0.00279295725565287,"ZBTB32"
"A_32_P524614",0.603535,-0.9888575,5.99738410118137,0.000321079104315899,0.328500269197223,-0.0135950164496057,"C17orf74"
"A_24_P290502",0.54166,0.973445,5.99671246351754,0.000321320101767332,0.328500269197223,-0.014048427456415,"GCC2"
"A_23_P41327",-0.6213025,-1.05647375,-5.99281189176521,0.000322723650037899,0.328500269197223,-0.0166830148064445,"LYAR"
"A_33_P3855484",1.277395,-0.2194325,5.98468437276222,0.000325669921110236,0.328500269197223,-0.0221801989285861,""
"A_23_P130333",1.0472,-8.146125,5.90657874871524,0.000355543094830999,0.328500269197223,-0.0755326466988961,"TTR"
"A_23_P501985",-0.897325,-1.8321875,-5.8588540356949,0.000375273231498426,0.328500269197223,-0.108604380979616,"CSF2RA"
"A_33_P3278205",-1.34816,-0.573065,-5.84246707945431,0.000382323153757669,0.328500269197223,-0.120043393649492,"LOC100499183"
"A_23_P31453",-1.2762,-7.259175,-5.82352188384968,0.000390655753713466,0.328500269197223,-0.13332161458008,"STEAP1"
"A_23_P405873",0.687553075,0.1935209625,5.7995978050674,0.000401464774704499,0.328500269197223,-0.150171579140677,"C9orf72"
"A_23_P94840",0.7358915,0.65236425,5.77707813174084,0.000411940323112623,0.328500269197223,-0.166116566846995,"DYNLRB2"
"A_33_P3302681",1.0124075,1.35672125,5.76994468045479,0.00041532099592099,0.328500269197223,-0.171184467565825,"TLE4"
"A_33_P3347413",0.592675,3.2651625,5.75206223173675,0.000423930625956776,0.328500269197223,-0.183925142091183,"PBXIP1"
"A_23_P502413",1.849147,-0.421869,5.74906378610344,0.000425393358936508,0.328500269197223,-0.186066520309931,"SERPINB4"
"A_33_P3389779",0.87761,-1.124045,5.68985575283492,0.000455443103140647,0.328500269197223,-0.22865118056032,"WDR33"
"A_23_P133648",0.582594825,-0.3919375875,5.6892316948703,0.000455771998160323,0.328500269197223,-0.229103085448566,"FAM8A1"
"A_24_P133253",-1.31315,-2.7356,-5.67437844403954,0.000463677565694153,0.328500269197223,-0.239877831343438,"KITLG"
"A_33_P3329587",0.813905,0.6063675,5.66854805989007,0.000466821819190502,0.328500269197223,-0.244117209995244,""
"A_33_P3256920",0.7590575,0.11398125,5.65339749703073,0.000475102359617275,0.328500269197223,-0.255159722691815,"WNT7B"
"A_33_P3663974",-0.99859,-1.40218,-5.63698428064022,0.000484255446087132,0.328500269197223,-0.267165426232066,"THRB"
"A_33_P3414949",1.3085125,0.17132625,5.62473020717897,0.000491215355808931,0.328500269197223,-0.276158033217367,"PXMP2"
"A_32_P197621",-0.8965275,-1.38506125,-5.54548470758006,0.000538964014715173,0.352422580733199,-0.334918321130041,"GEMIN8P4"
"A_33_P3318272",0.5629,0.709115,5.46897451645456,0.000589935571096183,0.377204749773976,-0.392657199222086,"OR5M11"
"A_24_P79808",0.541424999999999,3.1656875,5.45122418006538,0.000602502064209919,0.377204749773976,-0.406195451822907,"PBXIP1"
"A_23_P419107",1.025239325,0.4404928375,5.40609084381352,0.000635796279619312,0.388318519011282,-0.44086316147597,"TCP11L2"
"A_33_P3264224",1.027745,-1.6106025,5.39193834082926,0.000646647661225245,0.388318519011282,-0.451806505885386,"CDC42BPG"
"A_23_P83094",0.4592075,1.11062125,5.35166337553577,0.000678654504651867,0.392472187162356,-0.483139552135557,"TLE4"
"A_23_P202427",1.058475,-4.1335125,5.3497218880726,0.000680240664240618,0.392472187162356,-0.484657138641674,"HKDC1"
"A_24_P190472",0.760799999999999,-3.342275,5.3044389860474,0.000718412032210605,0.405026601828382,-0.520240558557872,"SLPI"
"A_23_P120316",-0.68435285,-0.284766075,-5.29174417742538,0.000729529648153076,0.405026601828382,-0.530280922699628,"MTHFD2"
"A_24_P290006",0.5486425,0.74485125,5.1640433309025,0.000852460216942685,0.458201268678612,-0.632873125152272,"LOC100129775"
"A_24_P192627",0.669,2.280525,5.16024204372509,0.000856450969492732,0.458201268678612,-0.635971758924974,"MLLT3"
"A_33_P3379391",0.4753675,0.93519125,5.12689728929313,0.000892346066088065,0.468880053475738,-0.663264706410658,"H2AFJ"
"A_23_P23616",0.45133,-1.02026,5.1040094020208,0.000917934846254397,0.473863734228695,-0.68211518666038,"PLEKHN1"
"A_33_P3410011",1.2876,2.169825,5.04056688380607,0.000993150571709316,0.496472649316298,-0.734865404167548,"PBXIP1"
"A_23_P79145",0.38744,0.8699575,5.03868978150912,0.00099547617025188,0.496472649316298,-0.736437364270275,"ZNF570"
"A_33_P3293519",0.6768235,0.03696425,4.96068400432022,0.00109757950142097,0.522615604289326,-0.802336258128976,"PAR4"
"A_24_P19677",0.62430975,-0.484250125,4.95288512859075,0.0011083996521891,0.522615604289326,-0.808986564805283,"IL28RA"
"A_24_P252497",-1.47135,-4.5006,-4.92503536308441,0.00114799820298617,0.522615604289326,-0.832827013231745,"TRIB1"
"A_33_P3369058",-1.076035,-0.9465025,-4.92348876574697,0.00115024201768702,0.522615604289326,-0.83415518851563,"LRRK2"
"A_32_P194264",-0.595305,1.2155225,-4.89441986880024,0.00119331728228102,0.522615604289326,-0.859201753964791,"CHAC2"
"A_33_P3261173",0.56105,1.468675,4.88627867532193,0.0012056941081821,0.522615604289326,-0.866244726862311,"FRAT1"
"A_23_P153197",0.493335,-0.6314,4.886135493695,0.00120591303121505,0.522615604289326,-0.866368704712164,"TGIF1"
"A_23_P35000",1.052635,0.2423275,4.8709316698839,0.00122940787900173,0.522615604289326,-0.879555211666168,"GPR3"
"A_23_P126836",-0.699624999999999,2.2914375,-4.86595598628224,0.00123720488926442,0.522615604289326,-0.883880106235127,"TNFSF4"
