"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_33_P3259112",0.80827,0.2003,8.26931125854017,2.99942728652456e-05,0.169395175009543,2.32582362802419,"FLJ41278"
"A_23_P36985",-2.1649725,-0.11757875,-8.10629224857378,3.47435365390645e-05,0.169395175009543,2.22597369131065,"PCDH8"
"A_33_P3235611",-1.8348575,-2.38802125,-7.97819623179229,3.90625830827481e-05,0.169395175009543,2.14543157227493,"SLC46A1"
"A_32_P88349",1.047075,2.1528625,7.84681317755159,4.41198320805025e-05,0.169395175009543,2.06086604743015,""
"A_23_P109488",1.1229,2.918875,7.73896218183609,4.88159996548356e-05,0.169395175009543,1.98993089576512,"PIK3IP1"
"A_24_P238543",-1.006735,-0.7920325,-7.65035448824773,5.30901283651694e-05,0.169395175009543,1.9306078015301,"PHKA1"
"A_24_P252497",-2.13545,-4.16855,-7.63618063380279,5.38115157405938e-05,0.169395175009543,1.92102977724235,"TRIB1"
"A_23_P171296",-0.887225000000001,-2.6148625,-7.58099971230685,5.67251671726294e-05,0.169395175009543,1.88350604446176,"MPP1"
"A_23_P132515",0.750005,1.3441725,7.4650167191913,6.34358330329747e-05,0.169395175009543,1.80340246664679,"SIDT1"
"A_23_P388855",1.0008352,0.7315074,7.34207583874135,7.15230120565169e-05,0.169395175009543,1.71663414832539,"KAT6B"
"A_33_P3214056",0.8667175,0.98389125,6.96302936736637,0.000104568288749808,0.169395175009543,1.43659941227498,"LOC728875"
"A_33_P3349521",0.774575,1.6508625,6.92541410210977,0.000108675936768858,0.169395175009543,1.40774466935247,"TMEM66"
"A_23_P87879",1.145575,2.0756125,6.8845521205072,0.000113341111448071,0.169395175009543,1.3761754367945,"CD69"
"A_23_P356616",-1.657385,2.0076325,-6.88022417349095,0.000113848037429418,0.169395175009543,1.37281801856069,"ABTB2"
"A_24_P192627",0.90545,2.1623,6.85280002377191,0.000117118948615783,0.169395175009543,1.35148228516265,"MLLT3"
"A_23_P433785",-1.4804975,2.11012625,-6.83334621611197,0.000119502089669358,0.169395175009543,1.33628294400636,"P2RX5"
