"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_23_P46429",1.960525,-7.0512125,18.118114245781,7.04445402869768e-08,0.00198125269557122,7.35297747689918,"CYR61"
"A_33_P3303016",1.21556,0.02414,13.6510810733015,6.63267977714812e-07,0.00932720593661455,5.98109893311384,"LOC100130587"
"A_23_P142872",1.83985,-4.8576,11.7114730731343,2.19194754129437e-06,0.0177548882677502,5.11671637482654,"TCF7L1"
"A_33_P3352011",1.468909,-0.7618455,11.3471694240484,2.79869321695815e-06,0.0177548882677502,4.92950515168569,""
"A_23_P135381",1.54335,-8.038175,10.849740892528,3.95257066730801e-06,0.0177548882677502,4.65928954405821,"SP5"
"A_33_P3263890",1.429725,-6.5966125,10.509173323481,5.04746448439602e-06,0.0177548882677502,4.4639495720593,"PRRX1"
"A_33_P3356182",1.13689625,-0.469519375,10.442871308201,5.29782978869432e-06,0.0177548882677502,4.42489721023299,""
"A_33_P3242798",1.36705,-8.258875,10.367442609189,5.59963028863133e-06,0.0177548882677502,4.38005335496328,"CPS1"
"A_33_P3230676",1.69135,-1.43735,10.3477451546563,5.68156424568006e-06,0.0177548882677502,4.36826933444806,""
"A_23_P212508",2.71035,-8.22275,10.0390233848685,7.15706439685262e-06,0.0189121339855202,4.17951458928858,"TF"
"A_23_P91552",1.230325,-4.6772875,9.74563861932134,8.96449414234088e-06,0.0189121339855202,3.99282600960818,"FTCD"
"A_23_P71530",1.0151,-5.02185,9.60985534179642,9.96882759027201e-06,0.0189121339855202,3.90391688631868,"TNFRSF11B"
"A_33_P3250680",-0.914200000000001,7.645475,-9.5458359631286,1.04853179843949e-05,0.0189121339855202,3.86143324335373,"CD40LG"
"A_24_P231829",-1.23065,-2.904675,-9.47863646477795,1.10597222375916e-05,0.0189121339855202,3.816444551854,"BHMT2"
"A_24_P238250",1.30089,-1.410855,9.3832396693457,1.19362259770776e-05,0.0189121339855202,3.75187571054219,"LGALS7"
"A_33_P3219286",1.257365,-0.616225,9.37732227750046,1.19930878945989e-05,0.0189121339855202,3.74784315467974,""
